Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
根据《企业所得税核定征收办法（试行）》第十一条规定，税务机关应在每年（    ）前对上年度实行核定征收企业所得税的纳税人进行重新鉴定，重新核定应纳企业所得税额或应税所得率。|1月底|3月底 |5月底 |6月底||4||||||
以下哪种情况不属于税务机关有权核定企业的应纳税额（    ）|依照法律、行政法规的规定应当设置账簿但未设置的|虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的|发生纳税义务，未按照规定的期限办理纳税申报，经税务机关责令限期申报，逾期仍不申报的|纳税人申报的计税依据偏低，且有正当理由的||4||||||
税务机关核定非居民企业的利润率，以下错误的是（    ）|从事承包工程作业、设计和咨询劳务的，利润率为15%～30%|从事管理服务的，利润率为30%～50%|从事其他劳务或劳务以外经营活动的，利润率不低于30%|税务机关有根据认为非居民企业的实际利润率明显高于上述标准的，可以按照比上述标准更高的利润率核定其应纳税所得额||3|||||p152从事其他劳务或劳务以外经营活动的，利润率不低于15%|p152从事其他劳务或劳务以外经营活动的，利润率不低于15%
以下哪个项目属于增值税减免直接申报的项目（    ）|鲜活肉蛋产品免征增值税优惠|技术转让、技术开发免征增值税优惠|动漫企业增值税即征即退|小微企业免征增值税优惠||4||||||
因城市实施规划、国家建设需要而搬迁，纳税人自行转让房地产（   ）土地增值税。|减半征收|免征|全额征收|定额减免||2||||||
将税务文书送达给文书受送达人，受送达人是法人的，按规定（   ）不能签收。|法定代表人|财务负责人|见证人|代理人||3||||||
复议机关应当自受理申请之日起（）日内作出行政复议决定；情况复杂，不能在规定期限内作出行政复议决定的，经复议机关负责人批准，可以适当延长，并告知申请人和被申请人；但延长期限最多不超过（     ）日。|60 15|30 15|60 30|90 30||3||||||
对违反规定发生被盗、丢失专用发票的纳税人，主管税务机关必须严格按《中华人民共和国税收征收管理法》和《中华人民共和国发票管理办法》的规定，处以（） 以下的罚款，并可视具体情况，对丢失专用发票的纳税人，在最长不超过（     ）时限内，停止领用专用发票。|1万元 三个月|1万元  半年 |5000元  三个月|5000元  半年||2||||||
对增值税一般纳税人发生真实交易但由于客观原因造成（    ）以后开具的增值税扣税凭证未能按照规定期限办理认证或者稽核比对的，经主管税务机关审核、逐级上报，由国家税务总局认证、稽核比对后，对比对相符的增值税扣税凭证，允许纳税人继续抵扣其进项税额。|2007年1月1日|2008年1月1日|2009年1月1日|2010年1月1日||1||||||
实行全员全额扣缴申报地区的税务机关应于年度终了3个月内，为已经实行扣缴申报后的个人按其全年实际缴纳的个人所得税额开具（    ）|《税收完税证明（文书式）》|《税收完税证明（表格式）》|《税收缴款书（代扣代收专用）》|《税收电子缴款书》||1||||||
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，国税机关应设置申报受理岗、审核岗、调查评估岗、复审岗、（    ）、预警分析岗、综合管理岗、信息管理岗和系统维护岗等岗位。|审批岗|核准岗|开票岗|核验岗||2||||||
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，综合管理岗应在开具《税收收入退还书》后的（    ）内，将其送交国库办理退库，并在收到国库返回的退库凭证相应联次后的1个工作日内进行销号处理。|5日|5个工作日|2日|2个工作日||4||||||
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，首次申报《进料加工企业计划分配率备案表》的，申报受理岗应核对备案表中填报的进料加工备案（   ），与企业报送的相关资料内容相符的予以备案。|计划分配率|实际分配率|核销分配率|预计分配率||1||||||
（   ），是指主管税收工作的职能部门或其他机关，依法代表国家对税收分配的全过程进行计划、组织、协调和监督的工作，旨在保证财政收入及时足额入库，以充分发挥税收对经济的调节作用。|税收管理|纳税遵从|纳税服务|税收征管||1||||||
狭义的税收管理是税务机关围绕（   ）所实施的管理活动的总称|纳税遵从 |税收征管|纳税服务|税收目标||1||||||
国内对税收管理制度“三十四字”方针的提出处于（   ）阶段|税收管理员制度阶段 |“征、管、查”三分离阶段|“信息管税＋专业化管理”阶段|全面推进税收管理现代化阶段||1||||||
（   ）是指以纳税人需求为导向，以信息技术为依托，以风险控制为手段，旨在降低征税成本提高征管效能，最终实现纳税遵从的一组相互关联、相互作用的税收管理活动总和。|税收管理流程 |税收管理基本流程|税收风险管理流程|税收征管流程||1||||||
不属于税收风险管理的全流程范围的是（    ）|后续管理 |目标规划|评价反馈|信息收集||1||||||
（   ）是整个风险管理的核心。|风险应对 |风险识别|目标规划|风险等级排序||1||||||
不属于税收数据情报管理的四项工作内容的是（    ）|汇总数据情报工作 |搜集数据情报工作|数据情报研究工作|数据情报风险推送工作||1|||||p202“四项工作” 是指：搜集数据情报工作、建立数据情报库工作、数据情报研究工作以及数据情报风险推送工作。|p202“四项工作” 是指：搜集数据情报工作、建立数据情报库工作、数据情报研究工作以及数据情报风险推送工作。
（   ）是税务机关对纳税人的申报情况进行核实的过程，在整个税收管理基本流程中处于核心地位。|纳税评估|税务稽查|纳税服务|税务审计||1||||||
将税收风险等级由低到高进行排序，税收风险应对策略的类型依次可分为（   ）|风险提醒、纳税评估、税务审计和反避税调查、税务稽查|风险提醒、纳税评估、税务稽查、税务审计和反避税调查|纳税评估、税务审计和反避税调查、风险提醒、税务稽查|风险提醒、纳税服务、纳税评估、税务稽查||1||||||
不属于税款追征的主要特点的是：（    ）|征收程序具有单方面性|税款追征是对税收债务的追征|债务追征的强制性更加突出|主张税收债权也具有时效性||1|||||p205税款追征的主要特点：1、税款追征是对税收债务的追征2、征收程序具有双重性3、债务追征的强制性更加突出4、主张税收债权也具有时效性|p205税款追征的主要特点：1、税款追征是对税收债务的追征2、征收程序具有双重性3、债务追征的强制性更加突出4、主张税收债权也具有时效性
税收数据情报管理是将税收情报通过采集、分析、处理、传递和应用等过程，形成有关管理的流程，它由（     ）三个要素决定。|机构、信息库和技术|机构、数据和技术|信息库、数据和技术|机构、信息库和数据||1||||||
以下哪一项现代税收管理方式的特征是指将风险管理的理念和方法全面运用于税收管理，风险分析识别库覆盖全行业、归集全项目、整合全指标、聚焦高风险。（   ）|科学化|信息化|集约化|专业化||1||||||
（   ）是依据国家税收法律和法规的规定，以现代信息技术和网络为依托，以提高纳税遵从为主要目标，通过加强与政府相关部门、行业协会、社区、中介等其他社会组织之间合作，从根本上堵塞税收征管漏洞，在客观上最大限度减少税收流失，缩短实际税收收入与理论值差距的重要手段。|综合治税|税收风险管理|信息管税|分类分级管理||1||||||
在税务机关的机构设置上，体现“分类”要求的机构设置主要是（   ）机构。|纳税评估|纳税服务|税款追征|税款征收||1||||||
大企业的纳税评估，一般采用（   ）等方式。|案头审计和实地审计|申报审核和案头审核|申报审核和实地审计|申报审核、案头审计和实地审计||1||||||
（   ）是法治的基本特征，是法治的理念基础。|法律至上|限权|人权|自由保障||1||||||
现代税收管理信息化的体系架构，推进六项建设不包括：（    ）|IT治理|IT服务|信息资源|信息安全||1|||||p223六项建设是：建设现代税收管理信息化体系，要推进基础设施、信息系统、信息资源、IT服务、信息安全、人才队伍六项建设。|p223六项建设是：建设现代税收管理信息化体系，要推进基础设施、信息系统、信息资源、IT服务、信息安全、人才队伍六项建设。
（   ）是税务机关依法对纳税人、扣缴义务人等管理相对人履行法定义务的情况进行监督、审查的执法活动。|税务检查|税务稽查|税务督查|税务管理||1||||||
（    ）是同级人民法院之间受理第一审行政案件的分工和权限|地域管辖|级别管辖|裁定管辖|指定管辖||1||||||
对税务机关的征税行为提起诉讼，必须先经过行政复议；对行政复议决定不服的，可以在接到复议决定书之日起（   ）日内向人民法院起诉。|15|7|20|60||1||||||
根据法律规定，人民法院接到税务行政诉讼诉状，经过审查，应当在（    ）日内立案或者作出不予立案的裁定。|5|7|10|15||2||||||
以下关于信息化概念说法错误的是（    ）|信息化的动力——信息技术的需求增长|信息化的核心——信息资源的充分利用|信息化的过程——伴随着社会生活的巨大变迁|信息化的结果——最终将形成一种新社会文明状态||1||||||
（    ）是信息化的发展目标。|智能化|网络化|数字化|泛在化||1||||||
纳税评估是指税务机关运用数据信息对比分析的方法，对纳税人和扣缴义务人纳税申报情况的真实性和准确性作出定性和定量的判断，并采取进一步征管措施的（     ）。|管理行为|检查行为|服务行为|执法行为||1||||||
税务审计是纳税评估中的特殊方式。税务审计一般是针对（    ）开展纳税评估的方法。|大企业|一般纳税人|小规模纳税人|小企业||1||||||
下列不属于税收风险应对策略的是（    ）|实地核查|纳税评估|税务稽查|税务审计||1||||||
纳税评估的意义不包括（    ）|纳税评估是对自主申报合理性、准确性的确认|纳税评估是税收执法的主要方式|纳税评估有利于提高纳税人税法遵从度|纳税评估体现税务机关税收综合管理能力||1|||||p224纳税评估的意义（一）纳税评估是对自主申报真实性、准确性的确认（二）纳税评估是税收执法的主要方式（三）纳税评估有利于提高纳税人税法遵从度（四）纳税评估体现税务机关税收综合管理能力（五）纳税评估有利于提高社会税收法律意识|p224纳税评估的意义（一）纳税评估是对自主申报真实性、准确性的确认（二）纳税评估是税收执法的主要方式（三）纳税评估有利于提高纳税人税法遵从度（四）纳税评估体现税务机关税收综合管理能力（五）纳税评估有利于提高社会税收法律意识
以下属于征管信息系统现有数据的是（    ）。|历史评估稽查信息|主要生产设备及设计生产能力|银行流水信息|生产经营房屋的使用情况||1||||||
第三方资料不包括（    ）|工商登记信息|互联网公开资料|微信朋友圈个人信息|行业协会公告||3||||||
税务机关使用相关数据时，应当向纳税人进行核实，对（    ）数据，评估中可以直接使用。|互联网发布的新闻|行业协会公开的资料|国家机关提供的数据|企业网站发布的信息||3||||||
以下属于身份及生产经营特征分析的内容是（    ）|就纳税人存在的跨国跨区、进出口、电子商务等交易行为，参照同类型交易行为存在的风险特征进行分析，找出表现异常的涉税疑点|通过对纳税人纳税申报、发票使用、纳税评估记录、税务稽查记录等方面开展分析，了解纳税人当前和历史的税法遵从情况，找出表现异常的涉税疑点。|对税务登记、涉及税收政策等方面开展分析，了解纳税人的基本现状，找出需要重点关注的事项和表现异常的涉税疑点，同时提出身份及生产经营特征分析方向。|通过纳税人风险情况综合分析，应当对纳税人遵守财务制度和税收管理要求情况作出初步判断。||1||||||
预案评审需要对评估预案及单户综合分析报告等资料进行评审。审议内容不包括（    ）|处理处罚是否合理|预案内容是否齐全|评估事项是否明确|时间安排是否合理||1|||||p232审议内容主要包括：1．深度分析是否完整2．预案内容是否齐全3．评估事项是否明确4．检查方式是否恰当5．时间安排是否合理|p232审议内容主要包括：1．深度分析是否完整2．预案内容是否齐全3．评估事项是否明确4．检查方式是否恰当5．时间安排是否合理
评估分析人员通过对纳税人基本情况分析，找出其中需要重点关注的事项，识别可能存在的涉税疑点，提出评估建议，形成纳税人基本情况分析报告，该报告不包括以下内容：（    ）|行业特征分析|基础信息分析|税收表现分析|对数据准备阶段采集的生产经营数据和纳税人的非常规情报信息，进行补充分析||1||||||
深度分析的内容不包括（    ）|综合分析|风险识别结果指向分析|身份及生产经营特征分析|证据固定分析||4||||||
征管信息系统现有数据不包括:（    ）|税务登记信息|资格认定信息|纳税申报信息|生产计划信息||4||||||
下列不属于案头审核的方式有（     ）|电话|信函|约谈|实地调查||4||||||
在案头审核阶段,需要纳税人在约定的时间到税务机关办公场所就涉税疑点进行说明解释并提供举证时可以采取的措施是（   ）。|电话|信函|约谈|资料审查||3||||||
约谈人员不得少于（   ）名，约谈过程中应制作询问笔录。|1|2|3|任意||2||||||
对需要查询纳税人或扣缴义务人在银行或者其他金融机构存款账户的，经（   ）税务局（分局）局长批准后，出具《检查存款账户许可证明》，到对应银行实施检查。|县以上|设区的市以上|地市以上|省市级以上||1||||||
下列选项中不属于电话询问形成的录音资料须注明的内容是（   ）。|制作方法|制作时间|证明对象|制作介质||4||||||
采取直接收款方式销售货物，增值税纳税义务发生时间为（    ），先开具发票的，为开具发票的当天。|发出货物的当天|不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天；|书面合同约定的收款日期的当天|会计确认收入的当天||2||||||
采取托收承付和委托银行收款方式销售货物，增值税纳税义务发生时间为（    ），先开具发票的，为开具发票的当天。|发出货物并办妥托收手续的当天|不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天；|书面合同约定的收款日期的当天|会计确认收入的当天||1||||||
采取赊销和分期收款方式销售货物，增值税纳税义务发生时间为（    ），先开具发票的，为开具发票的当天。|发出货物并办妥托收手续的当天|不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天；|书面合同约定的收款日期的当天，无书面合同的或者书面合同没有约定收款日期的，为货物发出的当天|会计确认收入的当天||3||||||
委托其他纳税人代销货物，增值税纳税义务发生时间为（    ），未收到代销清单及货款的，为发出代销货物满180天的当天；|为收到代销单位的代销清单或者收到全部或者部分货款的当天|不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天；|书面合同约定的收款日期的当天，无书面合同的或者书面合同没有约定收款日期的，为货物发出的当天|会计确认收入的当天||1||||||
销售应税劳务，增值税纳税义务发生时间为（    ）|为提供劳务同时收讫销售款或者取得索取销售款的凭据的当天|应税劳务完成的当天；|书面合同约定的收款日期的当天|会计确认收入的当天||1||||||
企业采取缩短折旧年限方法的，对其购置的新固定资产，最低折旧年限不得低于《企业所得税法实施条例》第六十条规定的折旧年限的（    ）|60％|40％|30％|70％||1||||||
根据税法规定，下列固定资产可以计算折旧扣除的是（    ）：|房屋、建筑物以外未投入使用的固定资产|以经营租赁方式租出的固定资产|以融资租赁方式租出的固定资产|已足额提取折旧仍继续使用的固定资产||2|||||征管评估P250 下列固定资产不得计算折旧扣除：房屋、建筑物以外未投入使用的固定资产；以经营租赁方式租入的固定资产；以融资租赁方式租出的固定资产；已足额提取折旧仍继续使用的固定资产；与经营活动无关的固定资产；单独估价作为固定资产入账的土地；其他不得计算折旧扣除的固定资产。 |征管评估P250 下列固定资产不得计算折旧扣除：房屋、建筑物以外未投入使用的固定资产；以经营租赁方式租入的固定资产；以融资租赁方式租出的固定资产；已足额提取折旧仍继续使用的固定资产；与经营活动无关的固定资产；单独估价作为固定资产入账的土地；其他不得计算折旧扣除的固定资产。 
企业持有的固定资产，单位价值不超过（    ）的，可以一次性在计算应纳税所得额时扣除。|5000元|50000元|2000元|20000元||1|||||征管评估P250企业持有的固定资产，单位价值不超过5000元的，可以一次性在计算应纳税所得额时扣除。企业在2013年12月31日前持有的单位价值不超过5000元的固定资产，其折余价值部分，2014年1月1日以后可以一次性在计算应纳税所得额时扣除。|征管评估P250企业持有的固定资产，单位价值不超过5000元的，可以一次性在计算应纳税所得额时扣除。企业在2013年12月31日前持有的单位价值不超过5000元的固定资产，其折余价值部分，2014年1月1日以后可以一次性在计算应纳税所得额时扣除。
《企业所得税法实施条例》第六十四条规定：生产性生物资产计算折旧的最低年限如下：林木类生产性生物资产，为（    ）年。|10年|20年|5年|3年||1|||||征管评估P251《企业所得税法实施条例》第六十四条规定：生产性生物资产计算折旧的最低年限如下：林木类生产性生物资产，为10年；畜类生产性生物资产，为3年。|征管评估P251《企业所得税法实施条例》第六十四条规定：生产性生物资产计算折旧的最低年限如下：林木类生产性生物资产，为10年；畜类生产性生物资产，为3年。
开办费按照规定可以在企业开始经营之日的当年一次扣除，也可以从企业开始经营之日的当年起，按照不少于（    ）年进行摊销。 |10年|20年|5年|3年||4|||||征管评估P252开办费按照规定可以在企业开始经营之日的当年一次扣除，也可以从企业开始经营之日的当年起，按照不少于3年进行摊销。|征管评估P252开办费按照规定可以在企业开始经营之日的当年一次扣除，也可以从企业开始经营之日的当年起，按照不少于3年进行摊销。
按照现行税法规定，房屋、建筑物计算折旧的最低年限是（    ）：|10年|20年|5年|3年||2|||||征管评估P249固定资产折旧年限的规定《企业所得税法实施条例》第六十条规定，除国务院财政、税务主管部门另有规定外，固定资产计算折旧的最低年限如下：房屋、建筑物，为20年；飞机、火车、轮船、机器、机械和其他生产设备，为10年；与生产经营活动有关的器具、工具、家具等，为5年；飞机、火车、轮船以外的运输工具，为4年；电子设备，为3年。|征管评估P249固定资产折旧年限的规定《企业所得税法实施条例》第六十条规定，除国务院财政、税务主管部门另有规定外，固定资产计算折旧的最低年限如下：房屋、建筑物，为20年；飞机、火车、轮船、机器、机械和其他生产设备，为10年；与生产经营活动有关的器具、工具、家具等，为5年；飞机、火车、轮船以外的运输工具，为4年；电子设备，为3年。
生产性生物资产，是指为产出农产品、提供劳务或出租等目的而持有的生物资产，不包括（    ）。|景观林|薪炭林|产畜|役畜||1|||||征管评估P251生产性生物资产的折旧与审核生产性生物资产，是指为产出农产品、提供劳务或出租等目的而持有的生物资产，包括经济林、薪炭林、产畜和役畜等。|征管评估P251生产性生物资产的折旧与审核生产性生物资产，是指为产出农产品、提供劳务或出租等目的而持有的生物资产，包括经济林、薪炭林、产畜和役畜等。
企业取得投资上市公司股票取得的现金红利，应以（    ）的日期，确定收入的实现。|股东大会作出利润分配决定|董事会通过利润分配计划|企业收到现金红利|企业收到上市公司派发红利的通知||1|||||公共书P101除国务院财政、税务主管部门另有规定外，按照被投资方做出利润分配决定的日期确认收入的实现。|公共书P101除国务院财政、税务主管部门另有规定外，按照被投资方做出利润分配决定的日期确认收入的实现。
根据税法规定，投资企业从被投资企业撤回或减少投资，其取得的资产中，（    ）|相当于被投资企业累计未分配利润和累计盈余公积按减少实收资本比例计算的部分，应确认为股息所得|全部确认为投资资产转让所得|全部确认为股息所得|扣除相当于初始出资的部分，确认为投资资产转让所得||1|||||征管评估P256《国家税务总局关于企业所得税若干问题的公告》（国家税务总局公告2011年第34号）规定，投资企业从被投资企业撤回或减少投资，其取得的资产中，相当于初始出资的部分，应确认为投资收回；相当于被投资企业累计未分配利润和累计盈余公积按减少实收资本比例计算的部分，应确认为股息所得；其余部分确认为投资资产转让所得。|征管评估P256《国家税务总局关于企业所得税若干问题的公告》（国家税务总局公告2011年第34号）规定，投资企业从被投资企业撤回或减少投资，其取得的资产中，相当于初始出资的部分，应确认为投资收回；相当于被投资企业累计未分配利润和累计盈余公积按减少实收资本比例计算的部分，应确认为股息所得；其余部分确认为投资资产转让所得。
下列各项中，税收规定可以在税前扣除的项目是（    ）|违法经营的罚款|各种税收的滞纳金、罚金和罚款|各项赞助支出|违反经济合同支付的违约金||4|||||公共书P102 1.在计算应纳税所得额时，下列支出不得扣除：（1）向投资者支付的股息、红利等权益性投资收益款项；（2）企业所得税税款；（3）税收滞纳金；（4）罚金、罚款和被没收财物的损失；（5）准予扣除的公益性捐赠支出以外的捐赠支出；（6）赞助支出；（7）未经核定的准备金支出；|公共书P102 1.在计算应纳税所得额时，下列支出不得扣除：（1）向投资者支付的股息、红利等权益性投资收益款项；（2）企业所得税税款；（3）税收滞纳金；（4）罚金、罚款和被没收财物的损失；（5）准予扣除的公益性捐赠支出以外的捐赠支出；（6）赞助支出；（7）未经核定的准备金支出；
发生以下情形，不适用税收担保的是（   ）。|欠缴税款、滞纳金的纳税人或者其法定代表人需要出境的|已经被税务稽查部门依法立案或司法机关立案查处的|纳税人同税务机关在纳税上发生争议而未缴清税款，需要申请行政复议的|发务机关有根据认为从事生产、经营的纳税人有逃避纳税义务行为，在规定的纳税期之前经责令其限期缴纳应纳税款，在限期内发现纳税人有明显的转移、隐匿其应纳税的商品、货物以及其他财产或者应纳税收入的迹象，责成纳税人提供纳税担保的||2|||||征管评估P259已经被税务稽查部门依法立案或司法机关立案查处的应是终结纳税评估|征管评估P259已经被税务稽查部门依法立案或司法机关立案查处的应是终结纳税评估
下列属于税收保全财产范围的是（    ）。|机动车辆、金银饰品、古玩字画、豪华住宅|单价5000元以下的其他生活用品，|个人及其所扶养家属维持生活必需的住房和用品|个人唯一住房||1|||||征管评估P264（三）税收保全的财产范围1.纳税人的财产，包括纳税人的房地产、现金、有价证券等不动产和动产。机动车辆、金银饰品、古玩字画、豪华住宅或者一处以外的住房不属于税收征管法第三十八条、第四十条、第四十二条所称个人及其所扶养家属维持生活必需的住房和用品。税务机关对单价5000元以下的其他生活用品，不采取税收保全措施和强制执行措施。2.个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施的范围之内。|征管评估P264（三）税收保全的财产范围1.纳税人的财产，包括纳税人的房地产、现金、有价证券等不动产和动产。机动车辆、金银饰品、古玩字画、豪华住宅或者一处以外的住房不属于税收征管法第三十八条、第四十条、第四十二条所称个人及其所扶养家属维持生活必需的住房和用品。税务机关对单价5000元以下的其他生活用品，不采取税收保全措施和强制执行措施。2.个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施的范围之内。
实施税收保全措施，必须经（    ）局长批准|县以上税务局（分局）|地级市以上税务局（分局）|市以上税务局（分局）|省、直辖市税务局||1|||||征管评估P264|征管评估P264
税收保全措施适用于（   ）。|所有纳税人|自然人纳税人|增值税一般纳税人|从事生产经营的纳税人||4|||||征管评估P263（二）税收保全的适用条件:（1）只适用于从事生产经营的纳税人；|征管评估P263（二）税收保全的适用条件:（1）只适用于从事生产经营的纳税人；
税务机关对（    ）以下的其他生活用品，不采取税收保全措施和强制执行措施。|合计5000元|单价5000元|合计10000元|单价10000元||2|||||征管评估P264税务机关对单价5000元以下的其他生活用品，不采取税收保全措施和强制执行措施。2.个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施的范围之内。|征管评估P264税务机关对单价5000元以下的其他生活用品，不采取税收保全措施和强制执行措施。2.个人及其所扶养家属维持生活必需的住房和用品，不在税收保全措施的范围之内。
在纳税评估的准备、实施和处理阶段，如果发现特定纳税人的税款存在无法征收的风险，为防止税款流失，应当及时要求纳税人提供纳税担保。纳税担保范围不包括（    ）。|税款|滞纳金|罚款实现|实现滞纳金的费用||3|||||征管评估P263纳税担保范围包括税款、滞纳金和实现税款、滞纳金的费用。费用包括抵押、质押登记费用，质押保管费用，以及保管、拍卖、变卖担保财产等相关费用支出。|征管评估P263纳税担保范围包括税款、滞纳金和实现税款、滞纳金的费用。费用包括抵押、质押登记费用，质押保管费用，以及保管、拍卖、变卖担保财产等相关费用支出。
