Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
以下属于企业所得税减免备案项目的有（     ）|从事农、林、牧、渔业项目的所得减免征收企业所得税|符合条件的居民企业之间的股息、红利等权益性投资收益免征企业所得税|设立机构、场所的非居民企业从居民企业取得与该机构、场所有实际联系的股息、红利免税|符合条件的小型微利企业减按20%的税率征收企业所得税|开发新技术、新产品、新工艺发生的研究开发费用加计扣除|1|2|3|5|||
以下属于增值税减免备案项目的有（     ）|安置残疾人就业增值税即征即退|飞机维修劳务增值税即征即退|软件产品增值税即征即退|小微企业免征增值税优惠|动漫企业增值税即征即退|1|2|3|5|||
对税收违法行为的处理中，如果需要对税收违法行为当事人责令其在规定的期限内改正税收违法行为时，进行责令限期改正业务处理，其适用层级包括（     ）|总局|省局|地市级|区县级|所级|1|2|3|4|||
当事人对税务机关的处罚决定逾期不申请行政复议也不向人民法院起诉、又不履行的，作出处罚决定的税务机关可以采取如下措施（    ）|《中华人民共和国税收征收管理法》第40条规定的强制执行措施|向上级税务机关报告|申请人民法院强制执行|纳税信用等级评定为D级|移交同级稽查部门 |1|3||||p164 当事人对税务机关的处罚决定逾期不申请行政复议也不向人民法院起诉、又不履行的，作出处罚决定的税务机关可以采取《中华人民共和国税收征收管理法》第40条规定的强制执行措施，或者申请人民法院强制执行。|p164 当事人对税务机关的处罚决定逾期不申请行政复议也不向人民法院起诉、又不履行的，作出处罚决定的税务机关可以采取《中华人民共和国税收征收管理法》第40条规定的强制执行措施，或者申请人民法院强制执行。
下列说法正确的是（    ）|企业外购的软件，凡符合固定资产或无形资产确认条件的，可以按照固定资产或无形资产进行核算，其折旧或摊销年限最短为3年|集成电路生产企业购入的生产设备，其折旧年限可以适当缩短，最短可为3年（含）|对从事信息传输、软件和信息技术服务业的企业2014年1月1日后购进的固定资产，只允许选择采取双倍余额递减法或年数总和法进行加速折旧|对轻工、纺织、机械、汽车等四个领域重点行业的企业2015年1月1日后新购进的固定资产，可由企业选择缩短折旧年限或采取加速折旧的方法|企业的固定资产由于技术进步等原因，确需加速折旧的，可以缩短折旧年限或者采取加速折旧的方法。|2|4|5|||p182企业外购的软件，凡符合固定资产或无形资产确认条件的，可以按照固定资产或无形资产进行核算，其折旧或摊销年限可以适当缩短，最短可为2年（含）。集成电路生产企业的生产设备，其折旧年限可以适当缩短，最短可为3年（含）。对生物药品制造业，专用设备制造业，铁路、船舶、航空航天和其他运输设备制造业，计算机、通信和其他电子设备制造业，仪器仪表制造业，信息传输、软件和信息技术服务业等行业企业（以下简称六大行业），2014年1月1日后购进的固定资产（包括自行建造），允许按不低于企业所得税法规定折旧年限的60%缩短折旧年限，或选择采取双倍余额递减法或年数总和法进行加速折旧。对轻工、纺织、机械、汽车等四个领域重点行业（具体范围见附件）的企业2015年1月1日后新购进的固定资产，可由企业选择缩短折旧年限或采取加速折旧的方法。|p182企业外购的软件，凡符合固定资产或无形资产确认条件的，可以按照固定资产或无形资产进行核算，其折旧或摊销年限可以适当缩短，最短可为2年（含）。集成电路生产企业的生产设备，其折旧年限可以适当缩短，最短可为3年（含）。对生物药品制造业，专用设备制造业，铁路、船舶、航空航天和其他运输设备制造业，计算机、通信和其他电子设备制造业，仪器仪表制造业，信息传输、软件和信息技术服务业等行业企业（以下简称六大行业），2014年1月1日后购进的固定资产（包括自行建造），允许按不低于企业所得税法规定折旧年限的60%缩短折旧年限，或选择采取双倍余额递减法或年数总和法进行加速折旧。对轻工、纺织、机械、汽车等四个领域重点行业（具体范围见附件）的企业2015年1月1日后新购进的固定资产，可由企业选择缩短折旧年限或采取加速折旧的方法。
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，主管国税机关对收到的预警风险信息中列明的异常情况，应根据《预警风险信息重点核查内容》所列重点核查内容逐一进行核查，并按以下（     ）要求完成预警核查工作，形成工作底稿。|对预警出口企业的核查工作可采用出口退（免）税评估、税务稽查等方式开展，并按照上级下发的预警风险信息规定的核查时限完成。|对预警供货企业的核查工作应自省国家税务局上传函调系统之日起20个工作日完成，情况特殊的，经省国家税务局同意，可延长至60个工作日完成。|因涉嫌虚开增值税专用发票、涉嫌骗税被税务机关稽查部门立案查处未结案的，不受上述规定时限的限制。|主管国税机关在出口退（免）税审核过程中，对审核系统根据一般风险信息及其他出口业务异常特征综合判断产生的疑点提示，需按规定予以排除。|各省国家税务局在建立预警风险识别指标体系和识别预警风险过程中，应使用预警风险信息。|1|2|3|||p192 主管国税机关对收到的预警风险信息中列明的异常情况，应根据《预警风险信息重点核查内容》（附件18）所列重点核查内容逐一进行核查，并按以下要求完成预警核查工作，形成工作底稿。（1）对预警出口企业的核查工作可采用出口退（免）税评估、税务稽查等方式开展，并按照上级下发的预警风险信息规定的核查时限完成。（2）对预警供货企业的核查工作应自省国家税务局上传函调系统之日起20个工作日完成，情况特殊的，经省国家税务局同意，可延长至60个工作日完成。（3）因涉嫌虚开增值税专用发票、涉嫌骗税被税务机关稽查部门立案查处未结案的，不受上述规定时限的限制|p192 主管国税机关对收到的预警风险信息中列明的异常情况，应根据《预警风险信息重点核查内容》（附件18）所列重点核查内容逐一进行核查，并按以下要求完成预警核查工作，形成工作底稿。（1）对预警出口企业的核查工作可采用出口退（免）税评估、税务稽查等方式开展，并按照上级下发的预警风险信息规定的核查时限完成。（2）对预警供货企业的核查工作应自省国家税务局上传函调系统之日起20个工作日完成，情况特殊的，经省国家税务局同意，可延长至60个工作日完成。（3）因涉嫌虚开增值税专用发票、涉嫌骗税被税务机关稽查部门立案查处未结案的，不受上述规定时限的限制
根据《全国税务机关出口退（免）税管理工作规范（1.1版）》规定，对生产企业进料加工计划分配率备案及核销申请，应按以下要求审核、办理（     ）：|首次申报《进料加工企业计划分配率备案表》的，申报受理岗应核对备案表中填报的进料加工备案计划分配率，与企业报送的相关资料内容相符的予以备案。|申请进料加工业务核销的，申报受理岗应在审核系统提取海关联网监管加工贸易电子数据中的进料加工“电子账册（电子化手册）核销数据”，以及进料加工业务的进、出口货物报关单数据和《进料加工手（账）册实际分配率反馈表》，交生产企业确认。|申请进料加工业务核销的，生产企业在《进料加工手（账）册实际分配率反馈表》填写“确认相符”意见的，申报受理岗将申报资料传递至审核岗。审核岗在审核系统对进料加工业务进行核销，并将生成的《生产企业进料加工业务免抵退税核销表》反馈给生产企业。|申请进料加工业务核销的，生产企业在《进料加工手（账）册实际分配率反馈表》填写“确认不相符”意见的，申报受理岗将申报资料一并传递给审核岗。|申请调整年度计划分配率的，申报受理岗将申报资料传递至审核岗，由审核岗核对生产企业提供的本年度预计的进料加工计划分配率无误及书面理由合理后，经复审岗核准后传递至申报受理岗反馈给生产企业。计划分配率有误或书面理由不合理的，审核岗将申报资料退回申报受理岗返还给生产企业。|1|2|4|5||p188 生产企业在《进料加工手（账）册实际分配率反馈表》填写“确认相符”意见的，申报受理岗将申报资料传递至审核岗。审核岗在审核系统对进料加工业务进行核销，并将生成的《生产企业进料加工业务免抵退税核销表》传递至复审岗核准后，由申报受理岗将此表及其电子数据反馈给生产企业。|p188 生产企业在《进料加工手（账）册实际分配率反馈表》填写“确认相符”意见的，申报受理岗将申报资料传递至审核岗。审核岗在审核系统对进料加工业务进行核销，并将生成的《生产企业进料加工业务免抵退税核销表》传递至复审岗核准后，由申报受理岗将此表及其电子数据反馈给生产企业。
广义的税收管理泛指一切与征纳有关的管理活动，包括（    ）等方面内容。|税收法制|税收征管|税收计划|税收行政|税收遵从|1|2|3|4||p198 广义的税收管理泛指一切与征纳有关的管理活动，包括税收法制、税收征管、税收计划、税收行政等方面内容|p198 广义的税收管理泛指一切与征纳有关的管理活动，包括税收法制、税收征管、税收计划、税收行政等方面内容
狭义的税收管理主要包括（     ）等。|纳税服务|税收征管|争议处理|税款追征|税收法制|1|3|4|||p198 狭义的税收管理是指纳税遵从管理，是税务机关围绕纳税遵从所实施的管理活动的总称，主要包括纳税服务、纳税评估、税款追征、税务稽查、争议处理等。|p198 狭义的税收管理是指纳税遵从管理，是税务机关围绕纳税遵从所实施的管理活动的总称，主要包括纳税服务、纳税评估、税款追征、税务稽查、争议处理等。
国际公认的税收管理理念主要包括（    ）。|信赖合作主义理念|纳税人自我评定理念|缺口管理理念|税收风险管理理念|税负公平理念|1|2|3|4||p198 国际公认的税收管理理念主要包括信赖合作主义理念、纳税人自我评定理念、缺口管理理念、税收风险管理理念等。|p198 国际公认的税收管理理念主要包括信赖合作主义理念、纳税人自我评定理念、缺口管理理念、税收风险管理理念等。
税收管理基本流程主要包括（    ）等几方面内容。|纳税服务|争议处理|税款追征|违法调查|纳税遵从|1|2|3|4||p199 税收管理基本流程主要包括五个方面：纳税服务、税收评定（纳税评估）、税款追征、违法调查（税务稽查）、争议处理。|p199 税收管理基本流程主要包括五个方面：纳税服务、税收评定（纳税评估）、税款追征、违法调查（税务稽查）、争议处理。
税收评定（纳税评估）是指税务机关对受理的纳税申报进行（   ）评价和确定。|真实性|准确性|合法性|及时性|合理性|1|2|3|||p199 税务机关对受理的纳税申报进行真实性、准确性、合法性评价和确定|p199 税务机关对受理的纳税申报进行真实性、准确性、合法性评价和确定
税收风险管理是指税务机关运用风险管理的理念和方法，合理配置管理资源，通过（     ）等措施，不断提高纳税遵从度的过程和方法。|风险分析识别|风险等级排序|风险应对处理|过程监控|后续管理|1|2|3|4||p200 税收风险管理流程是：目标规划—信息收集—风险识别—等级排序—风险应对—过程监控和评价反馈。|p200 税收风险管理流程是：目标规划—信息收集—风险识别—等级排序—风险应对—过程监控和评价反馈。
风险管理目标规划是税务机关在对外部环境和内部条件进行认真分析研究的基础上，对一定时期内风险管理的（      ）等作出的系统性、全局性谋划。|工作目标|方针策略|主要措施|实施步骤|后续跟踪|1|2|3|4||p200 风险管理目标规划是税务机关在对外部环境和内部条件进行认真分析研究的基础上，对一定时期内风险管理的工作目标、阶段重点、方针策略、主要措施、实施步骤等作出的系统性、全局性谋划。|p200 风险管理目标规划是税务机关在对外部环境和内部条件进行认真分析研究的基础上，对一定时期内风险管理的工作目标、阶段重点、方针策略、主要措施、实施步骤等作出的系统性、全局性谋划。
风险应对是税务机关在风险分析识别和等级排序的基础上，通过合理配置资源，采取（    ）等各种应对策略，对风险对象实施风险应对，消除税收风险，提高纳税遵从度的过程。|风险提醒|纳税评估|税务稽查|反避税调查|后续管理|1|2|3|4||p201 风险应对是税务机关在风险分析识别和等级排序的基础上，通过合理配置资源，采取风险提醒、纳税评估、税务稽查、反避税调查等各种应对策略，对风险对象实施风险应对，消除税收风险，提高纳税遵从度的过程。|p201 风险应对是税务机关在风险分析识别和等级排序的基础上，通过合理配置资源，采取风险提醒、纳税评估、税务稽查、反避税调查等各种应对策略，对风险对象实施风险应对，消除税收风险，提高纳税遵从度的过程。
税收数据情报管理流程包括（     ）等内容。|税收情报规划|情报收集处理|情报信息加工|情报发布交换|情报后续跟踪|1|2|3|4||p202-203|p202-203
（    ）构成遵从管理职责，是税收管理的核心职责。|服务职责|执法职责|法制管理职责|支持保障职责|征管职责|1|2||||p204 服务职责与执法职责构成遵从管理职责，是税收管理的核心职责|p204 服务职责与执法职责构成遵从管理职责，是税收管理的核心职责
现代税收管理方式的特征包括（    ） 。|法治化|集约化|信息化|社会化|泛在化|1|2|3|4||p209|p209
实施税收风险管理的基础工作，需要做好哪些方面的工作：（     ） 。|强化风险等级排序和任务管理|强化风险管理的绩效评价|强化风险应对的流程管理|强化风险管理的过程监控|加快建设基层税务机关风险分析识别库，强化分析识别|1|2|3|4||p211 全面实施税收风险管理，除了要具有完备的数据信息情报资源支撑外，还需要扎实做好下列基础工作。1、加快建设总局、省局两级风险分析识别库，强化分析识别 2、强化风险等级排序和任务管理3、强化风险应对的流程管理4、强化风险管理的过程监控5、强化风险管理的绩效评价|p211 全面实施税收风险管理，除了要具有完备的数据信息情报资源支撑外，还需要扎实做好下列基础工作。1、加快建设总局、省局两级风险分析识别库，强化分析识别 2、强化风险等级排序和任务管理3、强化风险应对的流程管理4、强化风险管理的过程监控5、强化风险管理的绩效评价
实施税收风险管理的必要性包括：（    ） 。|纳税人规模高位增长和税源、税户结构深刻变化|经济税源的形成链条正在发生深刻的变化|通过国务院简政放权、转变政府职能的进程不断深入|纳税人强烈的公正、文明、法治的自觉意识|税收管辖权 “整体化”趋势将进一步加剧|1|2|3|4||p210|p210
纳税服务职责，可划分为（    ）等职责 。|办税服务|税法宣传咨询|涉税提醒|权益维护|税企互动|1|2|3|4||p212 界定纳税服务职责。将纳税服务划分为办税服务、税法宣传咨询、涉税提醒、权益维护四大类职责。|p212 界定纳税服务职责。将纳税服务划分为办税服务、税法宣传咨询、涉税提醒、权益维护四大类职责。
税收法制管理是指国家为了保障税收职能、税收政策目标的实现，而对税收管理过程进行法律监督的一种管理活动，包括（     ）等内容。|税收立法|税收执法|税收司法|税法遵从|税收法治|1|2|3|4||p214 税收法制管理是指国家为了保障税收职能、税收政策目标的实现，而对税收管理过程进行法律监督的一种管理活动，包括税收立法、税收执法、税收司法、税法遵从等内容。|p214 税收法制管理是指国家为了保障税收职能、税收政策目标的实现，而对税收管理过程进行法律监督的一种管理活动，包括税收立法、税收执法、税收司法、税法遵从等内容。
税收立法原则是指在税收立法活动中必须遵循的准则。主要有以下几个原则：（     ）|客观原则|公平效率原则|民主决策原则|原则性与灵活性相结合原则|公开原则|1|2|3|4||p214-215|p214-215
我国税收立法程序主要包括以下几个阶段：（    ）|提议阶段|审议阶段|通过阶段|公布阶段|准备原则|1|2|3|4||p215 我国税收立法程序主要包括以下几个阶段：（1）提议阶段。（2）审议阶段。（3）通过和公布阶段。|p215 我国税收立法程序主要包括以下几个阶段：（1）提议阶段。（2）审议阶段。（3）通过和公布阶段。
人民法院审理行政案件实行（     ）的审判制度。|合议|回避|公开审判|两审终审|辩护|1|2|3|4||p219 人民法院审理行政案件实行合议、回避、公开审判和两审终审的审判制度。|p219 人民法院审理行政案件实行合议、回避、公开审判和两审终审的审判制度。
纳税评估的意义有（     ）|纳税评估是对自主申报合理性、准确性的确认|纳税评估是税收执法的主要方式|纳税评估有利于提高纳税人税法遵从度|纳税评估体现税务机关税收综合管理能力|纳税评估有利于提高社会税收法律意识|2|3|4|5||p224 纳税评估的意义（一）纳税评估是对自主申报真实性、准确性的确认（二）纳税评估是税收执法的主要方式（三）纳税评估有利于提高纳税人税法遵从度（四）纳税评估体现税务机关税收综合管理能力（五）纳税评估有利于提高社会税收法律意识|p224 纳税评估的意义（一）纳税评估是对自主申报真实性、准确性的确认（二）纳税评估是税收执法的主要方式（三）纳税评估有利于提高纳税人税法遵从度（四）纳税评估体现税务机关税收综合管理能力（五）纳税评估有利于提高社会税收法律意识
税收风险的应对策略有（     ）|纳税评估|税务审计|税务稽查|反避税|委托代征|1|2|3|4|||
下列描述纳税评估与税务稽查的关系正确的有（    ）|纳税评估与税务稽查都是税收风险的应对策略，并且是递进的应对策略。|纳税评估可以缓解税务稽查力量不足、难以实施大规模稽查的缺憾；而税务稽查可以通过打击和震慑税收违法行为，为纳税评估提供保障。|在对纳税人进行税务稽查过程中，发现纳税人只存在税款计算差错问题，可以转到纳税评估处理。|在对纳税人进行纳税评估过程中，发现纳税人存在虚开增值税专用发票情形的，应转给税务稽查处理。|都是促进纳税遵从的有效手段。|1|2|4|5||p225|p225
