Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
问责应当分清责任。党组织领导班子在职责范围内负有（    ）。 |全面领导责任|主要领导责任|重要领导责任|直接领导责任||1|||||教材P44：党组织领导班子在职责范围内负有全面领导责任。|教材P44：党组织领导班子在职责范围内负有全面领导责任。
不属于徇私舞弊不征、少征税款罪的立案标准的是（    ）|徇私舞弊不征、少征应征税款，致使国家税收损失累计达10万元以上的。|上级主管部门工作人员指使税务机关工作人员徇私舞弊不征、少征应征税款， 致使国家税收损失累计达15万元以上的。|上级主管部门工作人员指使税务机关工作人员徇私舞弊不征、少征应征税款， 致使国家税收损失累计达10万元以上的。|徇私舞弊不征、少征应征税款不满10万元， 但具有索取或者收受贿赂或者其他恶劣情节的。||2|||||教材P66：徇私舞弊不征、少征税款罪的立案标准1．徇私舞弊不征、少征应征税款，致使国家税收损失累计达10万元以上的；2．上级主管部门工作人员指使税务机关工作人员徇私舞弊不征、少征应征税款， 致使国家税收损失累计达10万元以上的；3．徇私舞弊不征、少征应征税款不满10 万元，但具有索取或者收受贿赂或者其他恶劣情节的；4．其他致使国家税收遭受重大损失的情形。|教材P66：徇私舞弊不征、少征税款罪的立案标准1．徇私舞弊不征、少征应征税款，致使国家税收损失累计达10万元以上的；2．上级主管部门工作人员指使税务机关工作人员徇私舞弊不征、少征应征税款， 致使国家税收损失累计达10万元以上的；3．徇私舞弊不征、少征应征税款不满10 万元，但具有索取或者收受贿赂或者其他恶劣情节的；4．其他致使国家税收遭受重大损失的情形。
公文的主送机关是（   ）|有隶属关系的上级机关|受理公文的机关|收文机关|需要了解公文内容的机关||2|||||教材P70：主送机关：公文的主要受理机关。|教材P70：主送机关：公文的主要受理机关。
电报中的“加急”适用于（   ）日内要办的较急事项。|1|2|4|6||3|||||教材P69：电报中的“加急”适用于4日内要办的较急事项。|教材P69：电报中的“加急”适用于4日内要办的较急事项。
公文首页必须显示（   ）。|主送机关|发文机关署名|正文|成文日期||3|||||教材P70：公文首页必须显示正文。|教材P70：公文首页必须显示正文。
以下情况，不适用于“通报”的是（   ）|××市税务局告知各区县分局机构发生变更|张某在值班过程中擅自离岗，给单位造成重大损失，被批评|小李在营改增项目培训中表现优秀，被××市税务局表扬|××市税务局向各区县分局传达“中国女排”重要精神||1|||||教材P68：通知，适用于发布、传达要求下级机关执行和有关单位周知或者执行的事项，批转、转发公文。通报，适用于表彰先进，批评错误，传达重要精神和告知重要情况。通报分为表扬性通报、批评性通报和情况通报。|教材P68：通知，适用于发布、传达要求下级机关执行和有关单位周知或者执行的事项，批转、转发公文。通报，适用于表彰先进，批评错误，传达重要精神和告知重要情况。通报分为表扬性通报、批评性通报和情况通报。
非正式沟通的优点是（   ）|沟通速度快|沟通的约束力大|沟通的意见常被歪曲|接受的一方对沟通意见参与的机会较少||1|||||教材P79：非正式沟通的优点是沟通速度快。|教材P79：非正式沟通的优点是沟通速度快。
公务礼仪的基本准则不包括（   ）|尊重|热情|对等|适度||2|||||教材P84：公务礼仪必须遵守以下基本准则：一是尊重准则，二是自律准则，三是适度准则，四是对等准则。|教材P84：公务礼仪必须遵守以下基本准则：一是尊重准则，二是自律准则，三是适度准则，四是对等准则。
税收最基本的职能是（   ）。|财政职能|调节职能|监督职能|惩治职能||1|||||教材P86：税收具有三种职能：财政职能、调节职能、监督职能。其中财政职能是最基本的。|教材P86：税收具有三种职能：财政职能、调节职能、监督职能。其中财政职能是最基本的。
根据《中华人民共和国增值税暂行条例实施细则》的规定，小规模纳税人的标准为：从事货物生产或者提供应税劳务的纳税人，以及以从事货物生产或者提供应税劳务为主，并兼营货物批发或者零售的纳税人，年应征增值税销售额在（   ）以下（含本数）的。|50万元|80万元|200万元|500万元||1|||||教材P87：根据《中华人民共和国增值税暂行条例实施细则》（以下简称《增值税暂行条例实施细则》）的规定，小规模纳税人的标准为：从事货物生产或者提供应税劳务的纳税人，以及以从事货物生产或者提供应税劳务为主（指纳税人的年货物生产或者提供应税劳务的销售额占年应税销售额的比重在50%以上），并兼营货物批发或者零售的纳税人，年应征增值税销售额（以下简称年应税销售额）在50万元以下（含本数）的；除上述规定以外的纳税人，年应税销售额在80万元以下的。|教材P87：根据《中华人民共和国增值税暂行条例实施细则》（以下简称《增值税暂行条例实施细则》）的规定，小规模纳税人的标准为：从事货物生产或者提供应税劳务的纳税人，以及以从事货物生产或者提供应税劳务为主（指纳税人的年货物生产或者提供应税劳务的销售额占年应税销售额的比重在50%以上），并兼营货物批发或者零售的纳税人，年应征增值税销售额（以下简称年应税销售额）在50万元以下（含本数）的；除上述规定以外的纳税人，年应税销售额在80万元以下的。
某企业当月购进二批农产品，其中一批为向一般纳税人购进，取得的增值税专用发票上注明金额30000元，税率13%，税额3900元。另一批是向一农业生产企业（小规模纳税人）购进，取得农产品销售发票上注明的农产品买价为26442元。则该企业当月的增值税进项税额为（   ）元。|6544.2|7337.46|7742|6942||2|||||3900+26442*13%=7337.46|3900+26442*13%=7337.46
纳税人销售货物或者应税服务适用免税规定的，可以放弃免税，依照规定缴纳增值税。放弃免税后，（   ）内不得再申请免税。|12个月|24个月|36个月|48个月||3|||||教材P91、《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）附件一第48条：纳税人发生应税行为适用免税、减税规定的，可以放弃免税、减税，依照本办法的规定缴纳增值税。放弃免税、减税后，36个月内不得再申请免税、减税。|教材P91、《财政部 国家税务总局关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）附件一第48条：纳税人发生应税行为适用免税、减税规定的，可以放弃免税、减税，依照本办法的规定缴纳增值税。放弃免税、减税后，36个月内不得再申请免税、减税。
一般纳税人开具增值税专用发票后，发生销货退回、开票有误、应税服务中止以及发票抵扣联、发票联均无法认证等情形但不符合作废条件，或者因销货部分退回及发生销售折让，可以（   ）。|申请开具红字专用发票|重新开具专用发票|申请开具蓝字专用发票|申请专用发票作废||1|||||教材P96：一般纳税人开具增值税专用发票后，发生销货退回、开票有误、应税服务中止以及发票抵扣联、发票联均无法认证等情形但不符合作废条件，或者因销货部分退回及发生销售折让，可以申请开具红字专用发票。|教材P96：一般纳税人开具增值税专用发票后，发生销货退回、开票有误、应税服务中止以及发票抵扣联、发票联均无法认证等情形但不符合作废条件，或者因销货部分退回及发生销售折让，可以申请开具红字专用发票。
出口环节免征增值税，相应的进项税额抵减内销应纳增值税额（不包括适用增值税即征即退、先征后退政策的应纳增值税额），未抵减完的部分予以退还。这种办法叫做（   ）。|免退税办法|免抵退税办法|免税办法|征免税办法||2|||||教材P93：免抵退税办法是指出口环节免征增值税，相应的进项税额抵减内销应纳增值税额（不包括适用增值税即征即退、先征后退政策的应纳增值税额），未抵减完的部分予以退还。|教材P93：免抵退税办法是指出口环节免征增值税，相应的进项税额抵减内销应纳增值税额（不包括适用增值税即征即退、先征后退政策的应纳增值税额），未抵减完的部分予以退还。
下列应税消费品中，适用从价与从量复合计税办法的是（   ）|烟丝|白酒|成品油|小汽车|电池|2|||||教材P97：现行消费税的征税范围中，只有卷烟、白酒采用复合计征方法。|教材P97：现行消费税的征税范围中，只有卷烟、白酒采用复合计征方法。
房产税采用比例税率，下列税率中，不是房产税税率的是（   ）。|0.4%|1.2%|4%|12%||1|||||教材P115、《中华人民共和国房产税暂行条例》第四条：房产税的税率，依照房产余值计算缴纳的，税率为1.2%；依照房产租金收入计算缴纳的，税率为12%。《财政部、国家税务总局关于廉租住房、经济适用住房和住房租赁有关税收政策的通知》（财税〔2008〕24号）第二条：（三）对个人出租住房，不区分用途，在3%税率的基础上减半征收营业税，按4%的税率征收房产税，免征城镇土地使用税。（四）对企事业单位、社会团体以及其他组织按市场价格向个人出租用于居住的住房，减按4％的税率征收房产税。|教材P115、《中华人民共和国房产税暂行条例》第四条：房产税的税率，依照房产余值计算缴纳的，税率为1.2%；依照房产租金收入计算缴纳的，税率为12%。《财政部、国家税务总局关于廉租住房、经济适用住房和住房租赁有关税收政策的通知》（财税〔2008〕24号）第二条：（三）对个人出租住房，不区分用途，在3%税率的基础上减半征收营业税，按4%的税率征收房产税，免征城镇土地使用税。（四）对企事业单位、社会团体以及其他组织按市场价格向个人出租用于居住的住房，减按4％的税率征收房产税。
城镇土地使用税采用的是（   ）|幅度等级定额税率 |比例税率|超额累进税率|定额税率+比例税率||1|||||教材P117：城镇土地使用税采用的是幅度等级定额税率。|教材P117：城镇土地使用税采用的是幅度等级定额税率。
关于耕地占用税的说法中，以下表述错误的是（   ）。|占用耕地建房或者从事非农业建设的单位或者个人，为耕地占用税的纳税人|耕地占用税以纳税人实际占用的耕地面积为计税依据，包括经批准占用的耕地面积和未经批准占用的耕地面积|未经批准占用耕地的，耕地占用税纳税义务发生时间为发现纳税人占用耕地的当天|纳税人改变占地用途，不再属于免税或减税情形的，应当自改变用途之日起３０日内按改变用途的实际占用耕地面积和当地适用税额补缴税款||3|||||教材P121|教材P121
契税的纳税义务发生时间，为（   ）|纳税人签订土地、房屋权属转移合同的当天，或者纳税人取得其他具有土地、房屋权属转移合同性质凭证的当天。|纳税人在房地产交易中心办理土地、房屋权属过户的当天|纳税人购买土地房屋价款支付完毕的当天|纳税人实际取得土地的当天或实际交付房屋的当天||1|||||教材P123：契税的纳税义务发生时间，为纳税人签订土地、房屋权属转移合同的当天，或者纳税人取得其他具有土地、房屋权属转移合同性质凭证的当天。|教材P123：契税的纳税义务发生时间，为纳税人签订土地、房屋权属转移合同的当天，或者纳税人取得其他具有土地、房屋权属转移合同性质凭证的当天。
契税税率为（    ）。契税的适用税率，由省、自治区、直辖市人民政府在前款规定的幅度内按照本地区的实际情况确定，并报财政部和国家税务总局备案。|3%-5%|1%-7%|3%-17%|1%-3%||1|||||教材P122：契税税率为3%～5%。契税的适用税率，由省、自治区、直辖市人民政府在前款规定的幅度内按照本地区的实际情况确定，并报财政部和国家税务总局备案。|教材P122：契税税率为3%～5%。契税的适用税率，由省、自治区、直辖市人民政府在前款规定的幅度内按照本地区的实际情况确定，并报财政部和国家税务总局备案。
下列收入中，不属于不征税收入的是（   ）。|国债利息收入|财政拨款|依法收取并纳入财政管理的行政事业收费|依法收取并纳入财政管理的政府性基金||1|||||教材P101-P102、企业所得税法第七条：收入总额中的下列收入为不征税收入：（一）财政拨款；（二）依法收取并纳入财政管理的行政事业性收费、政府性基金；（三）国务院规定的其他不征税收入。|教材P101-P102、企业所得税法第七条：收入总额中的下列收入为不征税收入：（一）财政拨款；（二）依法收取并纳入财政管理的行政事业性收费、政府性基金；（三）国务院规定的其他不征税收入。
下列属于企业所得税视同销售收入的是（   ）。|房地产企业将自己开发的房产用于经营酒店|生产企业用价值300万元的自产产品抵偿供应商欠款|砖瓦厂用自产砖修建本单位办公楼|汽车制造厂将自产汽车用于本企业管理部门使用||2|||||教材P101、企业所得税法实施条例第25条：企业发生非货币性资产交换，以及将货物、财产、劳务用于捐赠、偿债、赞助、集资、广告、样品、职工福利或者利润分配等用途的，应当视同销售货物、转让财产或者提供劳务，但国务院财政、税务主管部门另有规定的除外。|教材P101、企业所得税法实施条例第25条：企业发生非货币性资产交换，以及将货物、财产、劳务用于捐赠、偿债、赞助、集资、广告、样品、职工福利或者利润分配等用途的，应当视同销售货物、转让财产或者提供劳务，但国务院财政、税务主管部门另有规定的除外。
企业发生的公益性捐赠支出，在年度（    ）的12%以内的部分，准予在计算应纳税所得额时扣除。|年度营业收入总额|年度营业利润总额|年度会计利润总额|扣除捐赠前的应纳税所得额总额||3|||||教材P102、企业所得税法第九条、企业所得税法实施条例第53条：企业发生的公益性捐赠支出，在年度会计利润总额12%以内的部分，准予在计算应纳税所得额时扣除。|教材P102、企业所得税法第九条、企业所得税法实施条例第53条：企业发生的公益性捐赠支出，在年度会计利润总额12%以内的部分，准予在计算应纳税所得额时扣除。
甲公司2015年度实现销售收入8000万元，全年实现会计利润500万元。已知甲公司2015年度发生业务招待费100万元。假设不存在其他的纳税调整事项，那么甲公司当年的应纳税所得额应当（    ）。|调增40万元|调减40万元|调增60万元|调减60万元||3|||||教材P102、企业所得税法实施条例第43条：企业发生的与生产经营活动有关的业务招待费支出，按照发生额的60%扣除，但最高不得超过当年销售(营业)收入的5‰。100*60%=608000*5‰=40取较小值40100-40=60，应纳税所得额应调增60万元。|教材P102、企业所得税法实施条例第43条：企业发生的与生产经营活动有关的业务招待费支出，按照发生额的60%扣除，但最高不得超过当年销售(营业)收入的5‰。100*60%=608000*5‰=40取较小值40100-40=60，应纳税所得额应调增60万元。
关于企业所得税法规定的税收优惠政策，下面说法中错误的是（   ）。|对符合条件的小型微利企业，减按15%的税率征收|安置残疾人员的企业，所支付的工资可以在计算应纳税所得额时加计扣除|创业投资企业从事国家鼓励的创业投资，可以按投资额的一定比例抵扣应纳税所得额|企业综合利用资源，生产符合国家产业政策规定的产品所取得的收入，可以在计算应纳税所得额时减计收入||1|||||符合条件的小型微利企业，减按20%的税率征收企业所得税|符合条件的小型微利企业，减按20%的税率征收企业所得税
对于企业为投资者或者职工支付的补充养老保险费、补充医疗保险费在企业所得税前扣除的说法，下列说法正确的是（    ）。|可以据实全额扣除|在国务院财政、税务主管部门规定的范围和标准内，准予扣除|允许扣除的保险费还包括为特殊工种职工支付的财产安全保险费|一律不得扣除||2||||||
个体工商户A在2015年度全年实现的收入为100万元；全年花费的成本费用总计80万元，其中包括自己的工资每月10000元和7月由于违规经营被工商局处以的罚款5000元。那么A当年的应纳税所得额和应当缴纳的个人所得税分别为（    ）。|205000元，57000元|278000元，82550元|283000元，84300元|325000元，99000元||3|||||应纳税所得额=1000000-（800000-10000*12-5000+3500*12）=283000元个人所得税=283000*35%-14750=84300元|应纳税所得额=1000000-（800000-10000*12-5000+3500*12）=283000元个人所得税=283000*35%-14750=84300元
达到离休、退休年龄，但因工作需要，适当延长离休、退休年龄的高级专家，其在延长离休、退休年龄期间的工资、薪金所得，按税法规定，下列说法正确的是（    ）。|视同离休、退休工资免征个人所得税|就其全部工资、薪金所得减除费用后按工资、薪金所得征税|只就其超过离休、退休工资的部分征税|按劳务报酬所得征税||1||||||
下列有关印花税税收优惠的说法中，错误的是（    ）。|已缴纳印花税的凭证的副本或者抄本免征印花税|财产所有人将财产赠给政府、社会福利单位、学校所立的书据免征印花税|对个人销售或购买不动产暂免征收印花税|对个人出租、承租住房签订的租赁合同，暂免征印花税||3|||||对个人销售或购买住房暂免征收印花税|对个人销售或购买住房暂免征收印花税
关于房地产开发企业计算土地增值税的扣除项目，下列说法错误的是（    ）。|取得土地使用权所支付的金额|开发土地和新建房及配套设施的成本|房地产开发费用，简按A、B两项的5%计算扣除|其他扣除项目，按A、B两项金额之和加计扣除20%||3|||||其他房地产开发费用，在按照“取得土地使用权所支付的金额”与“房地产开发成本”金额之和的5%以内计算扣除|其他房地产开发费用，在按照“取得土地使用权所支付的金额”与“房地产开发成本”金额之和的5%以内计算扣除
某贸易企业2015年9月转让一栋仓库，取得转让收入600万元，缴纳相关税费共计40万元。该仓库原造价200万元，重置成本为800万，经评估仓库为五成新。则企业转让仓库应缴纳土地增值税（   ）万元|46.5|48|60|0||2|||||仓库经重置成本评估为五成新，则扣除成本为800*50%=400万增值额=600-（400+40）=160万增值额/扣除项目=160/440=0.363<50%根据土地增值税税率表，适用税率30%，速算扣除数0。土地增值税应纳税额=增值额*适用税率-扣除项目*速算扣除数=160*30%-440*0=48万|仓库经重置成本评估为五成新，则扣除成本为800*50%=400万增值额=600-（400+40）=160万增值额/扣除项目=160/440=0.363<50%根据土地增值税税率表，适用税率30%，速算扣除数0。土地增值税应纳税额=增值额*适用税率-扣除项目*速算扣除数=160*30%-440*0=48万
土地增值税的纳税人应当自转让房地产合同签订之日起（   ）日内向房地产所在地主管税务机关办理纳税申报，并在税务机关核定的期限内缴纳土地增值税。|7|15|30|60||1||||||
下列情况中主管税务机关可要求纳税人进行土地增值税清算的是（   ）。|已竣工验收的房地产开发项目，已转让的房地产建筑面积占整个项目可售建筑面积的比例在80%以上|已竣工验收的房地产开发项目，已转让的房地产建筑面积占整个项目可售建筑面积的比例虽未超过80%，但剩余的可售建筑面积已经出租或自用的|取得销售（预售）许可证满2年仍未销售完毕的|纳税人申请注销税务登记但未办理土地增值税清算手续的||4||||||
根据规定，可以实行简易申报、简并征期申报纳税方式的纳税人是（   ）。|实行查账征收的纳税人|实行查定征收的纳税人|实行定期定额征收的纳税人|实行查验征收的纳税人||3||||||
纳税人当期的货币资金在扣除应付职工工资、社会保险费用后，不足以缴纳税款时，可以按照规定的程序向税务机关申请办理（    ）。|豁免应纳税款|减征应纳税款|延期办理纳税申报|延期缴纳税款||4||||||
2017年4月税务机关在对B公司2011年度的纳税情况实施税务检查时，查实该公司在该年度的账簿上隐匿销售收入少缴税款182540元。下列正确的说法是（    ）。|不再予以追征税款、滞纳金和行政处罚|不再予以行政处罚，但仍应追征税款和滞纳金|不再予以追征税款和滞纳金，但仍应予以行政处罚|仍应追征税款、滞纳金和行政处罚||2||||||
下列有关纳税申报的说法，不符合《税收征收管理法》规定的是（     ）。|纳税人在纳税期内没有应纳税款的，也应当按照规定办理纳税申报|纳税人享受减税、免税待遇的，在减税、免税期间也应当按照规定办理纳税申报。|纳税人、扣缴义务人延期办理纳税申报或者报送代扣代缴、代收代缴税款报告表的审批权限，为县以上经税务局（分局）局长|纳税人采取邮寄方式办理纳税申报的，以寄出的邮戳日期为实际申报日期||3|||||计划单列市国家税务局、地方税务局可以参照税收征管法第三十一条第二款的批准权限，审批纳税人延期缴纳税款。|计划单列市国家税务局、地方税务局可以参照税收征管法第三十一条第二款的批准权限，审批纳税人延期缴纳税款。
纳税人因对税务机关作出的下列行政行为有异议而发生争议，可以申请行政复议，也可以直接向人民法院提起诉讼的是（   ）。|罚款|确定征收范围|确定退税数额|加收滞纳金||1||||||
根据立法法，下列说法错误的是（    ）。|授权决定应当明确授权的目的、事项、范围、期限|授权决定应当明确被授权机关实施授权决定应当遵循的原则|授权的期限不得超过5年|被授权机关应在授权期满前3 个月，向授权机关报告授权实施情况||4|||||授权的期限不得超过5年，被授权机关应在授权期满前6个月，向授权机关报告授权实施情况|授权的期限不得超过5年，被授权机关应在授权期满前6个月，向授权机关报告授权实施情况
我国法律规定税务行政赔偿的责任主体是（   ）。|国家          |各级政府财政  |行政机关      |执法人员||1||||||
根据《国家赔偿法》规定，税务行政赔偿的义务主体是（    ）。|国家                             |拨付赔偿金的财政机关   |违法行使职权的税务机关工作人员  |违法行使职权的税务机关||4||||||
税务行政赔偿的方式，不包括（    ）。|返还财产             |恢复原状   |支付精神损害抚慰金   |违约金||4||||||
 《中华人民共和国民法总则》自（     ）起施行。| 2017年3月15日| 2017年8月1日| 2017年10月1日| 2017年11月1日||3||||||
对世界范围内的法按照法的历史传统和外部特征而进行的一种分类为（     ）。|国内法和国际法 |根本法和普通法 |公法和私法  |大陆法系和英美法系||4||||||
（    ） 十二届全国人大三次会议表决通过了关于修改立法法的决定， 这是我国15 年来首次修改立法法。|2013年3月15日                         |2014年3月15日   |2015年3月15日                         |2016年3月15日   ||3||||||
《合同法》规定，撤销权自债权人知道或者应当知道撤销事由之日起（     ）内行使。|1年         |2年       |3年           |4年||1||||||
债权申报期限自人民法院发布受理破产申请公告之日起计算，最短不得少于三十日，最长不得超过（      ）。|1个月          |2个月          |3个月            |4个月||3||||||
（     ）是危害税收征管罪中唯一只能由自然人构成的罪名。|逃税罪   |抗税罪   |骗取出口退税罪    |虚开发票罪||2||||||
纳税人采取欺骗、隐瞒手段进行虚假纳税申报或者不申报逃避缴纳税款数额较大并且占应纳税额1０%以上的即构成逃税罪，《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定（二）》中将“数额较大” 界定为（   ）。|1万元   |3万元   |5万元   |10万元||3||||||
虚开增值税专用发票或者虚开用于骗取出口退税、抵扣税款的其他发票， 虚开的税款数额在1 万元以上或者致使国家税款被骗数额在（    ）以上的， 应予追诉。|1000元   |2000元   |3000元   |5000元||4||||||
（    ）是《刑法修正案（八）》新增的一项涉及发票的犯罪。|虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪|虚开发票罪|伪造、出售伪造的增值税专用发票罪|非法出售增值税专用发票罪||2||||||
 行政许可采取统一办理或者联合办理、集中办理的，办理的时间不得超过（    ）。|10日   |20日  |30日   |45日||4||||||
 要求听证的当事人， 应当自收到《税务行政处罚事项告知书》之日起(     )内向税务机关书面提出听证要求。|1日   |2日  |3日   |5日||3||||||
 行政机关实施查封、扣押措施， 查封、扣押的期限不得超过（   ）。|10日   |20日  |30日   |60日||3||||||
申请人可以在知道税务机关作出具体行政行为之日起(    )内提出行政复议申请。|10日   |20日  |30日   |60日||4||||||
公民、法人或者其他组织直接向人民法院提起行政诉讼的，自知道或者应当知道作出行政行为之日起(     )内提出。。|3个月   |6个月  |1年   |2年||2||||||
形成权责发生制和收付实现制不同的会计基础，进而出现应收、应付、预收、预付、折旧、摊销等会计处理方法所依据的会计基本假设是（      ）。|货币计量 |会计年度 |持续经营 |会计分期||4||||||
下列各项中，不属于会计核算方法的是（    ）。|填制和审核会计凭证 |财产清查和登记账簿 |复式记账和成本计算 |内部控制和内部规范||4||||||
会计科目按其所（  ）不同分为总分类科目和明细分类科目。|反映的会计对象|归属的会计要素|提供信息的详细程度及其统驭关系|反映的经济业务||3||||||
借贷记账法下，借方登记的内容有（     ）。|资产的增加|所有者权益的增加|收入的增加|费用的减少||1||||||
因解除与职工的劳动关系而给予的补偿，应借记（   ）账户。|“生产成本”|“制造费用”|“管理费用”|“销售费用”||3||||||
车间管理人员的工资应计入（    ）科目。|“生产成本”|“制造费用”|“其他业务成本”|“管理费用”||2||||||
下列账户中，期末余额在贷方的是（    ）|“实收资本”|“主营业务成本”|“主营业务收入”|“本年利润”||1||||||
企业确实无法偿付的应付账款，应贷记（   ）账户。|“其他业务收入”|“营业外收入”|“主营业务收入”|“资本公积”||2||||||
结转已销售产品的成本，应借记“主营业务成本”账户，贷记（    ）账户。|“制造费用”|“生产成本”|“库存商品”|“应付账款”||3||||||
计算销售商品发生的消费税时，应借记（    ）账户，贷记“应交税费——应交消费税”账户。|“税金及附加”|“应收账款”|“应交税费”|“管理费用”||1||||||
原材料已验收入库，月末尚未收到结算凭证的，入库材料按照合同价格暂估入账时，应借记“原材料”账户，贷记（     ）账户。|“在途物资”|“应付账款”|“原材料”|“银行存款”||2||||||
下列项目中，不属于财务费用核算内容的是（   ）|现金折扣|财务人员的工资薪金|利息收入|汇兑损益||2||||||
下列项目中属于会计行政法规的有（    ）|会计法|企业基本准则|企业财务报告条例|小企业会计准则||3||||||
