Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
税务机关作出行政行为时，未告知当事人诉权和起诉期限，致使当事人逾期向人民法院起诉的，其起诉期限从当事人实际知道诉权或者起诉期限时计算，除不动产提起诉讼的案件以外的其他案件自行政行为作出之日起超过10年提起诉讼的，人民法院不予受理。（    ）|正确|错误||||2|||||征管P218税务机关作出行政行为时，未告知当事人诉权和起诉期限，致使当事人逾期向人民法院起诉的，其起诉期限从当事人实际知道诉权或者起诉期限时计算，除不动产提起诉讼的案件以外的其他案件自行政行为作出之日起超过5年提起诉讼的，人民法院不予受理。|征管P218税务机关作出行政行为时，未告知当事人诉权和起诉期限，致使当事人逾期向人民法院起诉的，其起诉期限从当事人实际知道诉权或者起诉期限时计算，除不动产提起诉讼的案件以外的其他案件自行政行为作出之日起超过5年提起诉讼的，人民法院不予受理。
税收管理法治化是指由一定的社会政治经济条件决定的法治精神和法治原则所确立的税收法律制度及其运行机制、秩序和状态的总和。（    ）|正确|错误||||1|||||征管P220|征管P220
数字化是以网络化的发展为前提的。（    ）|正确|错误||||2|||||征管P221网络化是以数字化的发展为前提的。|征管P221网络化是以数字化的发展为前提的。
税收管理法治化的基本要求是平等与有序（    ）|正确|错误||||2|||||征管P220税收管理法治化的基本要求是公正与平等|征管P220税收管理法治化的基本要求是公正与平等
纳税评估是指税务机关运用数据信息对比分析的方法，对纳税人和扣缴义务人纳税申报情况的真实性和准确性作出定性和定量的判断，并采取进一步征管措施的管理行为。（   ）|正确|错误||||1|||||征管P224|征管P224
纳税评估是税收征管程序的核心环节。（  ）|正确|错误||||1|||||征管P224|征管P224
纳税评估是最主要的风险应对策略。（   ）|正确|错误||||1|||||征管P224|征管P224
纳税评估风险应对策略之一，而反避税不是（    ）。|正确|错误||||2|||||征管P224纳税评估和反避税都是风险应策略。|征管P224纳税评估和反避税都是风险应策略。
在对纳税人进行税务稽查过程中，发现纳税人只存在税款计算差错问题，可以转到纳税评估处理。（    ）|正确|错误||||2|||||征管P225如果事先选择了税务稽查这一风险应策略，在稽查过程中不能改变应策略而选择纳税评估。|征管P225如果事先选择了税务稽查这一风险应策略，在稽查过程中不能改变应策略而选择纳税评估。
要求纳税人提供与生产经营相关的情报时，应当出具《税务处理决定书》及《生产经营数据采集表》并送达纳税人，要求其报送相关资料。（   ）|正确|错误||||2|||||征管P229出具《税务事项通知书（提供资料）》|征管P229出具《税务事项通知书（提供资料）》
如纳税人未及时报送资料或报送了虚假涉税资料，导致难以开展深度分析的，应当出具《责令限期改正通知书》，责令纳税人在规定的期限内报送真实、准确的涉税资料，并追究其相应的法律责任。（    ）|正确|错误||||1|||||征管P229|征管P229
数据准备完成后，分析人员应将纳税人报送的生产经营数据采集表或第三方提供的资料，通过录入已有的信息平台或其他方式实现数据共享。（   ）|正确|错误||||1|||||征管P229|征管P229
纳税人提供外文资料的，税务机关可以要求纳税人就外文资料进一步提供由具有翻译资质的机构翻译的或者其他翻译准确的中文译本，由翻译机构盖章或者翻译人员签名，并由纳税人确认。（    ）|正确|错误||||1|||||征管P229|征管P229
税务机关使用第三方资料时，应当向纳税人进行核实，对国家机关、银行等金融机构提供的数据，评估中可以直接使用。 （    ）|正确|错误||||1|||||征管P229|征管P229
以验证纳税申报信息为主攻方向是深度分析的特点之一。（    ）|正确|错误||||1|||||征管P230|征管P230
评估人员在对纳税人进行身份特征分析时应就纳税人的投资结构、总分机构、是否上市等身份特征，参照同类型纳税人存在的风险特征进行分析，找出表现异常的涉税疑点。（    ）|正确|错误||||1|||||征管P231|征管P231
评估人员对纳税人进行身份及生产经营特征分析时应就纳税人所适用特定税收政策的执行情况，结合同类政策在执行过程中发现的风险特征进行分析，找出表现异常的涉税疑点。（    ）|正确|错误||||1|||||征管P231|征管P231
电话询问的录音或者文字记录不能作为直接实施行政处罚或核定应纳税额的依据。（    ）|正确|错误||||1|||||征管P234|征管P234
在欠税追征环节，约谈人员不得少于两名，约谈过程中应制作询问笔录。（    ）|正确|错误||||1|||||征管P234|征管P234
对需要查询纳税人或扣缴义务人在银行或者其他金融机构存款账户的，须经地市以上税务局（分局）局长批准后，出具《检查存款账户许可证明》，到对应银行实施检查。（    ）|正确|错误||||2|||||征管P236经县以上税务局|征管P236经县以上税务局
对需要查询纳税人或扣缴义务人在银行或者其他金融机构存款账户的，经县以上税务局（分局）局长批准后，出具《税务检查通知书》，到对应银行实施检查。（   ）|正确|错误||||2|||||征管P236出具《检查存款账户许可证明》|征管P236出具《检查存款账户许可证明》
某税务所为提高工作效率，采用一个税务干部和一个聘用专职司机形成工作小组实施实地核查工作。（   ）|正确|错误||||2|||||应由2名以上具有执法资格的税务人员|应由2名以上具有执法资格的税务人员
电话询问进行录音后，录音资料应当注明制作方法、制作时间、制作人和证明对象等，并附有该声音内容的文字记录。（   ）|正确|错误||||1|||||征管P233|征管P233
《纳税评估约谈情况表》有修改的，应当由约谈人在改动处押印。（   ）|正确|错误||||2|||||征管P262被约谈人|征管P262被约谈人
采取直接收款方式销售货物，增值税纳税义务发生时间为货物发出时。（    ）|正确|错误||||2|||||征管P239采取直接收款方式销售货物，不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天|征管P239采取直接收款方式销售货物，不论货物是否发出，均为收到销售款或者取得索取销售款凭据的当天
采取托收承付和委托银行收款方式销售货物，增值税纳税义务发生时间为发出货物并办妥托收手续的当天。（   ）|正确|错误||||1|||||征管P239|征管P239
采取赊销和分期收款方式销售货物，增值税纳税义务发生时间为书面合同约定的收款日期的当天，无书面合同的或者书面合同没有约定收款日期的，为货物发出的当天。（   ）|正确|错误||||1|||||征管P239|征管P239
采取预收货款方式销售货物，增值税纳税义务发生时间为货物发出的当天，但生产销售生产工期超过12个月的大型机械设备、船舶、飞机等货物，为收到预收款或者书面合同约定的收款日期的当天。（   ）|正确|错误||||1|||||征管P239|征管P239
销售货物或者应税劳务，增值税纳税义务发生时间为收讫销售款项或者取得索取销售款项凭据的当天；与开具发票的时间无关。（   ）|正确|错误||||2|||||征管P239先开具发票的，为开具发票的当天。|征管P239先开具发票的，为开具发票的当天。
纳税人将自产、委托加工和购买的货物用于实物折扣的，则该实物款额不能从货物销售额中减除，且该实物应按视同销售货物处理。（   ）|正确|错误||||1|||||征管P240|征管P240
纳税人申报的计税依据明显偏低，又无正当理由的。税务机关有权核定其应纳税额。（   ）|正确|错误||||1|||||征管P149|征管P149
《国家税务总局关于贯彻落实企业所得税法若干税收问题的通知》（国税函〔2010〕79号）第四条规定：企业权益性投资取得股息、红利等收入，应以实际收到之日确定收入的实现。（    ）|正确|错误||||2|||||征管P253应以被投资企业股东会或股东大会作出利润分配或转股决定的日期|征管P253应以被投资企业股东会或股东大会作出利润分配或转股决定的日期
进行纳税评估时,发现纳税人被认定为非正常户的,可以终结评估 （   ）|正确|错误||||2|||||征管P258可以中止评估|征管P258可以中止评估
在评估过程中，发现纳税人已经被人民法院裁定终结破产程序的可以终结评估。（   ）|正确|错误||||1|||||征管P259|征管P259
纳税评估中止后，即使中止情形消失，也无需恢复纳税评估工作。（   ）|正确|错误||||2|||||征管P258应立即恢复|征管P258应立即恢复
在评估过程中，发现纳税人已经被税务稽查部门依法立案查处的，应继续评估，排除涉税疑点。（   ）|正确|错误||||2|||||征管P259应终结评估|征管P259应终结评估
用于纳税担保的财产、权利的价值不得高于应当缴纳的税款、滞纳金，并考虑相关的费用。（    ）|正确|错误||||2|||||征管P263用于纳税担保的财产、权利的价值不得低于应当缴纳的税款、滞纳金，并考虑相关的费用。|征管P263用于纳税担保的财产、权利的价值不得低于应当缴纳的税款、滞纳金，并考虑相关的费用。
纳税评估的事实依据需要以相关民事、刑事或者其他行政案件的审理结果为依据，而相关案件尚未审结的，可以中止评估。（    ）|正确|错误||||1|||||征管P258|征管P258
纳税人的账簿、记账凭证及有关资料被其他国家机关依法调取且尚未归还的，可以中止评估。（   ）|正确|错误||||1|||||征管P258|征管P258
纳税人未按照规定办理税务登记证件验证或者换证手续的，由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上1万元以下的罚款。（   ）|正确|错误||||1|||||征管P259|征管P259
纳税人未按照规定将其全部银行账号向税务机关报告的，处2000元以上1万元以下的罚款；情节严重的，处1万元以上5万元以下的罚款。（   ）|正确|错误||||2|||||征管P259由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上１万元以下的罚款|征管P259由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上１万元以下的罚款
纳税人、扣缴义务人编造虚假计税依据的，由税务机关责令限期改正，并处5万元以下的罚款。（   ）|正确|错误||||1|||||P-259|P-259
纳税人、扣缴义务人的开户银行或者其他金融机构拒绝接受税务机关依法检查纳税人、扣缴义务人存款账户，或者拒绝执行税务机关作出的冻结存款或者扣缴税款的决定，或者在接到税务机关的书面通知后帮助纳税人、扣缴义务人转移存款，造成税款流失的，由税务机关处1万元以上5万元以下的罚款，对直接负责的主管人员和其他直接责任人员处1000元以上１万元以下的罚款。（    ）|正确|错误||||2|||||P-260 处10万元以上50万元以下的罚款|P-260 处10万元以上50万元以下的罚款
评估审核人员不得参与同一评估对象的税务约谈、调查审核和纳税评估处理工作。（    ）|正确|错误||||1|||||P-265|P-265
纳税评估报告审核指评估审核人员依据评估实施人员推送的《纳税评估报告》及相应的评估资料按权限进行审核审批的过程。（   ）|正确|错误||||1|||||P-265|P-265
纳税评估执行是指评估执行人员根据经审批同意后的《纳税评估报告》中提出的评估处理建议进行相应后续处理的过程。（   ）|正确|错误||||1|||||P-265|P-265
文书送达是一个法律程序，是税务机关的法定职责，应以法定的程序和方式进行，未按法定程序和方式送达，不产生文书送达的法律效力。（   ）|正确|错误||||1|||||P-266|P-266
税务文书送达有5种方式，其中邮寄送达便捷，适用于各种情形，但邮寄送达税务文书不易产生法律效力。（    ）|正确|错误||||1|||||P-267|P-267
凡是能够直接送达的，均应采取直接送达的方式。（    ）|正确|错误||||1|||||P-266|P-266
《税务文书送达回证》是税务机关是否已送达税务文书的一个证明，只有正确、完整、合法、真实地签写送达回证，才能确保执法的程序不违法。（    ）|正确|错误||||1|||||P-267|P-267
以邮寄方式送达文书，《税务文书送达回证》和回执均未交回的，税务机关可通过中国邮政网站的给据邮件跟踪查询系统或者EMS追踪查询系统根据邮件编号进行网上查询，也可凭挂号信函收据或者EMS收据到邮政营业厅查询。网上查询的，应当通过拍照或者打印、影印等方式固定证据；到邮政营业厅查询的，应当保存邮政机构出具的查询情况说明。（    ）|正确|错误||||1|||||P-268|P-268
违法违章处理报告审议应以集体会议审议形式开展，审议情况及结论应制作审议记录，参加人员应签字确认。（   ）|正确|错误||||1|||||P-268|P-268
当事人要求陈述、申辩的，检查人员应当听取当事人的陈述申辩，当事人应在收到税务行政处罚告知事项之日起5日内向税务机关陈述、申辩，进行陈述、申辩可以采取口头形式或书面形式。（    ）|正确|错误||||2|||||P-269 3日内|P-269 3日内
税务机关不能因当事人的陈述或申辩而加重处罚。（    ）|正确|错误||||1|||||P-269|P-269
听证费用由要求举行听证的当事人支付。（    ）|正确|错误||||2|||||P-270 听证费用由组织听证的税务机关支付。|P-270 听证费用由组织听证的税务机关支付。
税务机关在送达文书时，要讲究策略，文书送达方式应灵活运用。只有充分掌握税务文书送达的方式、步骤、时限、次序以及税务文书送达回证的签写工作，执法程序才不会违法，行政行为才能真正合法有效。（    ）|正确|错误||||1|||||P-268|P-268
纳税人对该疑点或问题认识清楚，与评估人员对处理办法达成一致的，可由纳税人自行改正，补正申报、补缴税款、调整账目。（    ）|正确|错误||||1|||||P-264|P-264
阻止欠税纳税人出境期限一般为3个月。限制出境时间到期前20日，税务局确认欠税纳税人仍未按规定结清应纳税款、滞纳金又未提供纳税担保，需继续限制出境的，按照规定程序继续办理。到期不续报，公安边防部门将自动解除边控。（    ）|正确|错误||||2|||||P-278 限制出境时间到期前15日|P-278 限制出境时间到期前15日
纳税申报义务履行情况分析与审核主要是围绕申报的及时性进行审核，包括是否办理纳税申报的审核和纳税申报的及时性审核。（   ）|正确|错误||||1|||||P-281|P-281
流动资产的分析重点是货币资金、存货和应收款项等项目。对于货币资金的分析，主要考虑真实性的分析，弱化对量的分析。（    ）|正确|错误||||2|||||P-284 首先是量的分析，其次是真实性的分析|P-284 首先是量的分析，其次是真实性的分析
利润表重点项目的分析与审核对利润表项目的审核分析，主要是审核分析利润形成的各指标的真实性和合理性，多用相对数指标，与同期比，与同行业比，与预警值比。（    ）|正确|错误||||1|||||P-286|P-286
在对纳税人的资格认定和备案资料审核中，应当严格把关，围绕认定资料和备案资料的完整性和与有关政策的符合性进行统一审核。（   ）|正确|错误||||1|||||P-280|P-280
根据《国家税务总局关于发布〈企业所得税优惠政策事项办理办法〉的公告》（国家税务总局公告2015第76号）的规定，企业所得税法规定的优惠事项，以及税法授权国务院和民族自治地方制定的优惠事项，凡享受企业所得税优惠的，均应当向税务机关履行备案手续。企业应当不迟于年度汇算清缴纳税申报时备案。（     ）|正确|错误||||1|||||P-280-281|P-280-281
当事人要求陈述、申辩的，检查人员应当听取当事人的陈述申辩，当事人应在收到税务行政处罚告知事项之日起３日内向税务机关陈述、申辩，进行陈述、申辩可以采取口头形式或书面形式。（    ）|正确|错误||||1|||||P-269|P-269
开展营业收入的分析，不能忽略对发票的检查，发票是纳税评估的重要资料，在销售环节不使用发票的企业，隐瞒收入的可能性要比使用发票的企业大。（    ）|正确|错误||||1|||||P-286|P-286
资产负债表中货币资金、应收账款、预收账款的增减幅度变化与利润表中营业收入的增减变化之比，可发现营业成本中的误差。（    ）|正确|错误||||2|||||P-286 资产负债表中货币资金、应收账款、预收账款的增减幅度变化与利润表中营业收入的增减变化之比，可发现营业收入中的误差。|P-286 资产负债表中货币资金、应收账款、预收账款的增减幅度变化与利润表中营业收入的增减变化之比，可发现营业收入中的误差。
税收优先于无担保债权，但法律另有规定的除外，如在破产程序中，职工的工资属于债权，但考虑到职工基本生活的保障这一更高的人权宗旨，职工的工资优先于国家的税收而受到清偿。（    ）|正确|错误||||1|||||P274-275|P274-275
欠税追征中，为了体现追征的严肃性，不可采用电话追征。（    ）|正确|错误||||2|||||P272 在追征告知无果的情况下，为避免与欠税纳税人直接接触时可能遇到的一些尴尬情况等不利因素的影响，同时为避免因追征欠税款而耽误欠税纳税人的时间或影响欠税纳税人日常生产经营，为节约行政成本提高行政工作效率，可采用电话追征。|P272 在追征告知无果的情况下，为避免与欠税纳税人直接接触时可能遇到的一些尴尬情况等不利因素的影响，同时为避免因追征欠税款而耽误欠税纳税人的时间或影响欠税纳税人日常生产经营，为节约行政成本提高行政工作效率，可采用电话追征。
税务机关不得在没有先行扣押、查封，而直接将其应纳税款的商品、货物或者其他财产依法拍卖、变卖。（   ）|正确|错误||||2|||||税务机关也可以不先行扣押、查封，而是直接将其应纳税款的商品、货物或者其他财产依法拍卖、变卖。|税务机关也可以不先行扣押、查封，而是直接将其应纳税款的商品、货物或者其他财产依法拍卖、变卖。
税收优先权是指当税款与其他债权并存时，税款有优先受偿权。（   ）|正确|错误||||1|||||P-274|P-274
根据法律的规定，税务机关行使撤销权的方式是执法行为直接实现。（    ）|正确|错误||||2|||||P277 根据法律的规定，税务机关行使撤销权的方式是诉讼方式，而不是由税务机关的执法行为直接实现。|P277 根据法律的规定，税务机关行使撤销权的方式是诉讼方式，而不是由税务机关的执法行为直接实现。
公安边防部门阻止欠税纳税人出境时，申请阻止出境的主管局应派员到场，当面告知当事人被阻止出境的事由、欠税金额、依据及处理决定，同时告知未结清税款、滞纳金或未提供纳税担保前不得离境等内容。（    ）|正确|错误||||1|||||P-277-278|P-277-278
税务机关对列入备案管理的优惠项目，应在相关性审核的基础上，对跨年度优惠项目建立管理台账进行动态跟踪监控，如创业投资抵扣应纳税所得额，专用设备投资抵免应纳税额等。（  ）|正确|错误||||1|||||P-281|P-281
因纳税人或扣缴义务人计算错误等失误，未缴或者少缴税款的，累计数额在10万元以上的，税务机关在3年内可以追征。（   ）|正确|错误||||2|||||公共知识P-144 因纳税人、扣缴义务人非主观故意的计算公式运用错误以及明显的笔误等失误，未缴或者少缴税款的，税务机关在3年内可以追征税款、滞纳金；累计数额在10万元以上的，追征期可以延长到5年。|公共知识P-144 因纳税人、扣缴义务人非主观故意的计算公式运用错误以及明显的笔误等失误，未缴或者少缴税款的，税务机关在3年内可以追征税款、滞纳金；累计数额在10万元以上的，追征期可以延长到5年。
中华人民共和国境外的单位或者个人在境内提供应税劳务，以购买方为扣缴义务人。（    ）|正确|错误||||2|||||公共知识P-87中华人民共和国境外的单位或者个人在境内提供应税劳务，在境内未设有经营机构的，以其境内代理人为扣缴义务人；在境内没有代理人的，以购买方为扣缴义务人。|公共知识P-87中华人民共和国境外的单位或者个人在境内提供应税劳务，在境内未设有经营机构的，以其境内代理人为扣缴义务人；在境内没有代理人的，以购买方为扣缴义务人。
城市维护建设税的适用税率包括1%、3%、5%、7%。（   ）|正确|错误||||2|||||公共知识P-125城市维护建设税的适用税率包括1%、5%、7%。|公共知识P-125城市维护建设税的适用税率包括1%、5%、7%。
我国印花税的税率采用比例税率和定额税率两种形式征收。（   ）|正确|错误||||1|||||公共知识P-128|公共知识P-128
