Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|Notes
纳税人的下列行为中，如情节严重，税务机关可以处2000元以上1万元以下罚款的是（    ）。|外商投资企业的账簿、会计凭证和报表仅使用一种外国文字，未同时使用中文|未按规定的期限办理纳税申报|擅自改动税控装置|假报出口骗取国家出口退税款||1|2|3|||P149纳税人有下列行为之一的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，处二千元以上一万元以下的罚款：（1）未按照规定的期限申报办理税务登记、变更或者注销登记的；（2）未按照规定设置、保管账簿或者保管记账凭证和有关资料的；（3）未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；（4）未按照规定将其全部银行账号向税务机关报告的；（5）未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。纳税人不办理税务登记的，由税务机关责令限期改正；逾期不改正的，经税务机关提请，由工商行政管理机关吊销其营业执照。|P149纳税人有下列行为之一的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，处二千元以上一万元以下的罚款：（1）未按照规定的期限申报办理税务登记、变更或者注销登记的；（2）未按照规定设置、保管账簿或者保管记账凭证和有关资料的；（3）未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；（4）未按照规定将其全部银行账号向税务机关报告的；（5）未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。纳税人不办理税务登记的，由税务机关责令限期改正；逾期不改正的，经税务机关提请，由工商行政管理机关吊销其营业执照。
关于加快行政程序建设，下列说法正确的是（     ）。|深化行政执法体制改革|加强对规章和规范性文件的监督|健全行政执法案卷评查制度|建立健全行政执法主体资格制度|推行行政执法责任制|1|3|4|5||P156（四） 加快行政程序建设1． 深化行政执法体制改革2． 严格按照法定程序行使权力、履行职责3． 健全行政执法案卷评查制度4． 建立健全行政执法主体资格制度5． 推行行政执法责任制|P156（四） 加快行政程序建设1． 深化行政执法体制改革2． 严格按照法定程序行使权力、履行职责3． 健全行政执法案卷评查制度4． 建立健全行政执法主体资格制度5． 推行行政执法责任制
下列属于税务行政赔偿的范围的有（     ）。| 县税务局违法要求企业提前缴纳税款| 县税务局对企业未按规定期限办理纳税申报处以2万元罚款| 县税务局未及时解除税收保全措施| 某税务干部甲向纳税人私自借款2万元，到期不还| 县税务局违法采取强制执行措施|1|2|3|5||P189|P189
下列属于税务行政许可项目的是（     ）。|企业印制发票审批|对纳税人延期缴纳税款的核准|对纳税人延期申报的核准|对纳税人变更纳税定额的核准|印花税票代售许可|1|2|3|4||P170由国家税务局和地方税务局实施的税务行政许可项目包括：企业印制发票审批、对纳税人延期缴纳税款的核准、对纳税人延期申报的核准、对纳税人变更纳税定额的核准、增值税专用发票（增值税税控系统） 最高开票限额审批、对采取实际利润额预缴以外的其他企业所得税预缴方式的核定、非居民企业选择由其主要机构场所汇总缴纳企业所得税的审批。|P170由国家税务局和地方税务局实施的税务行政许可项目包括：企业印制发票审批、对纳税人延期缴纳税款的核准、对纳税人延期申报的核准、对纳税人变更纳税定额的核准、增值税专用发票（增值税税控系统） 最高开票限额审批、对采取实际利润额预缴以外的其他企业所得税预缴方式的核定、非居民企业选择由其主要机构场所汇总缴纳企业所得税的审批。
法的特征包括（   ）。|法的规范性   |法的国家意志性    |法的国家强制性  |法的普遍性  |法的社会性|1|2|3|4||P151|P151
法的规范作用可以分为（    ）。 |指引作用 |评价作用 |预测作用  |社会作用 |教育作用 |1|2|3|5||P151法的规范作用是法自身表现出来的，对人们的行为或社会关系可能的影响。可以分为：指引作用、评价作用、预测作用、教育作用和强制作用。|P151法的规范作用是法自身表现出来的，对人们的行为或社会关系可能的影响。可以分为：指引作用、评价作用、预测作用、教育作用和强制作用。
法的渊源包括（     ）。|宪法   |法律   |行政法规  |规范性文件  |自治条例和单行条例|1|2|3|5||P151|P151
法律的制定程序主要包括以下（   ）环节。|法律案的提出     |法律案的审议    |法律案的表决      |法律案的公布  |法律案的解释|1|2|3|4||P153法律的制定程序主要包括：法律案的提出、法律案的审议、法律案的表决和法律案的公布四个环节。|P153法律的制定程序主要包括：法律案的提出、法律案的审议、法律案的表决和法律案的公布四个环节。
(     )等税收基本制度只能由法律规定。|税种的设立     |税率的确定      |纳税环节的确定   |纳税地点的确定  |税收征收管理|1|2|5|||P153税种的设立、税率的确定和税收征收管理等税收基本制度只能由法律规定。|P153税种的设立、税率的确定和税收征收管理等税收基本制度只能由法律规定。
宪法的基本原则(      )。|人民主权原则    |基本人权原则  |法治原则   |权力制约原则  |诚实信用原则|1|2|3|4||P157|P157
刑罚中的附加刑包括（    ）。|罚金         |罚款      |剥夺政治权利        |没收财产        |驱逐出境|1|3|4|5||P165附加刑包括罚金、剥夺政治权利、没收财产、驱逐出境|P165附加刑包括罚金、剥夺政治权利、没收财产、驱逐出境
下列（     ）是《刑法修正案（八）》新增加的罪名。|虚开发票罪|伪造、出售伪造的增值税专用发票罪|非法出售增值税专用发票罪|非法购买增值税专用发票、购买伪造的增值税专用发票罪|持有伪造的发票罪|1|5||||P166|P166
行政合理性原则的基本内容包括（     ）。|行政行为的作出应当符合法律目的，具有正当性|行政行为应建立在考虑相关因素的基础上|行使行政权时要平等的适用法律规范，平等的对待行政相对人，符合公正法则|行政职权必须依据法律行使|行政权的行使应符合自然规律与社会道德|1|2|3|5||公共知识P165  1．行政行为的作出应当符合法律目的，具有正当性；2．行政行为应建立在考虑相关因素的基础上。作出行政决定和进行行政裁量，只能考虑符合立法授权的各种因素，不得考虑不相关因素；3．行使行政权时要平等的适用法律规范，平等的对待行政相对人，符合公正法则，同等情况同等处理，不同情况，不同处理；4．行政行为应保持适度，符合比例原则的要求；5．行政权的行使应符合自然规律与社会道德，符合人类理性和公平正义观念。|公共知识P165  1．行政行为的作出应当符合法律目的，具有正当性；2．行政行为应建立在考虑相关因素的基础上。作出行政决定和进行行政裁量，只能考虑符合立法授权的各种因素，不得考虑不相关因素；3．行使行政权时要平等的适用法律规范，平等的对待行政相对人，符合公正法则，同等情况同等处理，不同情况，不同处理；4．行政行为应保持适度，符合比例原则的要求；5．行政权的行使应符合自然规律与社会道德，符合人类理性和公平正义观念。
税务行政主体包括（    ）。|各级税务局|税务分局|税务所|稽查局|省以下税务局的稽查局|1|2|3|5||公共知识P165税务行政主体可分为四类：第一，各级税务局，从国家税务总局到县税务局。第二，税务分局，是指省级市、地级市税务局在本辖区内的区、县设置的税务分局。第三，税务所，是指县、自治县、旗税务局所设置的派出机构，有的地方则被称为税务分局。第四，省以下税务局的稽查局。|公共知识P165税务行政主体可分为四类：第一，各级税务局，从国家税务总局到县税务局。第二，税务分局，是指省级市、地级市税务局在本辖区内的区、县设置的税务分局。第三，税务所，是指县、自治县、旗税务局所设置的派出机构，有的地方则被称为税务分局。第四，省以下税务局的稽查局。
根据行政处罚法的规定，对违法行为不予行政处罚的情形有（  　）。|未满14周岁的人|不能辨认或不能控制自己行为的精神病人|酗酒者酒醉期间|主动消除或者减轻违法行为危害后果的       |违法行为轻微并及时纠正， 未造成危害后果的|1|2|5|||公共知识P170下列三种情形可免于处罚：（1）违法行为超过处罚时效，不予处罚；（2）未满14 周岁的未成年人和精神病人在不能辨认或不能控制自己行为时实施的行为，不予处罚；（3）违法行为轻微并及时纠正，未造成危害后果的，不予处罚。|公共知识P170下列三种情形可免于处罚：（1）违法行为超过处罚时效，不予处罚；（2）未满14 周岁的未成年人和精神病人在不能辨认或不能控制自己行为时实施的行为，不予处罚；（3）违法行为轻微并及时纠正，未造成危害后果的，不予处罚。
根据权责发生制原则，应计入本期的收入和费用的有（    ）。|本期销售商品一批，并已收款|本期预收销货款|尚未支付的本期水电费|本期预付下一季度的报刊费|支付本月增值税|1|3||||公共知识P190权责发生制基础要求，凡是当期已经实现的收入和已经发生或应当负担的费用无论款项是否收付，都应当作为当期的收入和费用，计入利润表；凡是不属于当期的收入和费用，即使款项已在当期收付，也不应当作为当期的收入和费用。|公共知识P190权责发生制基础要求，凡是当期已经实现的收入和已经发生或应当负担的费用无论款项是否收付，都应当作为当期的收入和费用，计入利润表；凡是不属于当期的收入和费用，即使款项已在当期收付，也不应当作为当期的收入和费用。
下列会计要素属于动态要素的有（     ）。|资产|负债|所有者权益|收入|费用|4|5||||公共知识P192资产、负债、所有者权益是资金运动在某一时点处于相对静止状态时的表现，属于静态会计要素；收入、费用、利润是资金运动在一定时期处于运动状态时的表现，属于动态会计要素|公共知识P192资产、负债、所有者权益是资金运动在某一时点处于相对静止状态时的表现，属于静态会计要素；收入、费用、利润是资金运动在一定时期处于运动状态时的表现，属于动态会计要素
借贷记账法的特点有（     ）。|“借”表示增加，“贷”表示减少 |以“借”、“贷”为记账符号|可根据资产和权益的平衡关系进行试算平衡|以“有借必有贷，借贷必相等”作为记账规则|会计恒等式是借贷记账法的理论基础|2|3|4|5||公共知识P19（二）借贷记账法。试算平衡是指根据借贷记账法的记账规则和资产与权益的平衡关系，通过对所有账户的发生额和余额的汇总计算和比较，来检查账户记录正确性、完整性的一种方法。借贷记账法，是以“借”“贷”为记账符号，以“有借必有贷，借贷必相等”为记账规则的一种复式记账方法。1、借贷记账法的理论基础会计恒等式是借贷记账法的理论基础。2、借贷记账法的记账符号借贷记账法以“借”和“贷”为记账符号。|公共知识P19（二）借贷记账法。试算平衡是指根据借贷记账法的记账规则和资产与权益的平衡关系，通过对所有账户的发生额和余额的汇总计算和比较，来检查账户记录正确性、完整性的一种方法。借贷记账法，是以“借”“贷”为记账符号，以“有借必有贷，借贷必相等”为记账规则的一种复式记账方法。1、借贷记账法的理论基础会计恒等式是借贷记账法的理论基础。2、借贷记账法的记账符号借贷记账法以“借”和“贷”为记账符号。
对于增值税一般纳税人， 应交增值税明细科目还应分别设置（    ）等专栏。|进项税额|进项税额转出|已交税金|销项税额|进口退税|1|2|3|4||公共知识P198增值税一般纳税人应在“应交增值税”明细账内设置“进项税额”、“销项税额抵减”、“已交税金”、“转出未交增值税”、“减免税款”、“出口抵减内销产品应纳税额”、“销项税额”、“出口退税”、“进项税额转出”、“转出多交增值税”等专栏。|公共知识P198增值税一般纳税人应在“应交增值税”明细账内设置“进项税额”、“销项税额抵减”、“已交税金”、“转出未交增值税”、“减免税款”、“出口抵减内销产品应纳税额”、“销项税额”、“出口退税”、“进项税额转出”、“转出多交增值税”等专栏。
成本类账户包括（     ）。|“生产成本”|“制造费用”|“主营业务成本”|“其他业务成本”|“税金及附加”|1|2||||公共知识P201产品生产业务核算需要设置的主要账户:（一）生产成本、（二）制造费用|公共知识P201产品生产业务核算需要设置的主要账户:（一）生产成本、（二）制造费用
下列账户中，期末结转后一般无余额的是（    ）。|“生产成本”|“制造费用”|“累计折旧”|“本年利润”|“主营业务收入”|2|4|5|||公共知识P201、202、209、206“生产成本”期末余额在借方，表示尚未完工的在产品成本。“累计折旧”期末余额在贷方|公共知识P201、202、209、206“生产成本”期末余额在借方，表示尚未完工的在产品成本。“累计折旧”期末余额在贷方
工业企业“营业外收入”账户核算的内容包括（     ）。|处置固定资产利得|政府补助|出售原材料|出租无形资产|债务重组利得|1|2|5|||公共知识P209“营业外收入”账户属于损益类账户，用来核算企业非日常活动中发生的各项利得，主要包括非流动资产处置利得、非货币性资产交换利得、债务重组利得、政府补助、盘盈利得、捐赠利得等。|公共知识P209“营业外收入”账户属于损益类账户，用来核算企业非日常活动中发生的各项利得，主要包括非流动资产处置利得、非货币性资产交换利得、债务重组利得、政府补助、盘盈利得、捐赠利得等。
下列项目中，应计入 “管理费用”账户的是（    ）。|印花税|业务招待费|广告费|差旅费|商品维修费|2|4||||公共知识P199“管理费用”账户属于损益类账户，包括企业在筹建期间内发生的开办费、董事会和行政管理部门在企业的经营管理中发生的或者应由企业统一负担的公司经费（包括行政管理部门职工薪酬、物料消耗、低值易耗品摊销、办公费和差旅费等）、董事会费（包括董事会成员津贴、会议费和差旅费等）、聘请中介机构费、咨询费（含顾问费）、诉讼费、业务招待费、技术转让费、矿产资源补偿费、研究费用、排污费等。|公共知识P199“管理费用”账户属于损益类账户，包括企业在筹建期间内发生的开办费、董事会和行政管理部门在企业的经营管理中发生的或者应由企业统一负担的公司经费（包括行政管理部门职工薪酬、物料消耗、低值易耗品摊销、办公费和差旅费等）、董事会费（包括董事会成员津贴、会议费和差旅费等）、聘请中介机构费、咨询费（含顾问费）、诉讼费、业务招待费、技术转让费、矿产资源补偿费、研究费用、排污费等。
下列项目，属于资产负债表中“存货”项目的是（    ）。|“原材料”|“发出商品”|“生产成本”|“工程物资”|“受托代销商品”|1|2|3|5||公共知识P213“存货”项目，应根据“材料采购”“原材料”“发出商品”“库存商品”“周转材料”“委托加工物资”“生产成本”“受托代销商品”等科目的期末余额合计，减去“受托代销商品款”“存货跌价准备”科目期末余额后的金额填列。|公共知识P213“存货”项目，应根据“材料采购”“原材料”“发出商品”“库存商品”“周转材料”“委托加工物资”“生产成本”“受托代销商品”等科目的期末余额合计，减去“受托代销商品款”“存货跌价准备”科目期末余额后的金额填列。
下列项目中，通过“其他应收款”核算的是（      ）。|备用金 |增值税出口退税|企业销售商品形成的应收取的款项|向职工收取的各种垫付款项|应收的各种赔款|1|2|4|5||公共知识P199企业销售商品形成的应收取的款项|公共知识P199企业销售商品形成的应收取的款项
